Sondenspannung in V 	Sondenstrom in µA
-15.00 	-1.88e-6
-14.76 	-1.85e-6
-14.50 	-1.82e-6
-14.25 	-1.79e-6
-14.00 	-1.76e-6
-13.74 	-1.73e-6
-13.49 	-1.70e-6
-13.26 	-1.67e-6
-13.01 	-1.64e-6
-12.75 	-1.60e-6
-12.51 	-1.57e-6
-12.25 	-1.54e-6
-12.02 	-1.51e-6
-11.76 	-1.48e-6
-11.50 	-1.45e-6
-11.27 	-1.42e-6
-11.01 	-1.39e-6
-10.74 	-1.35e-6
-10.49 	-1.32e-6
-10.25 	-1.29e-6
-10.00 	-1.26e-6
-9.75 	-1.22e-6
-9.50 	-1.19e-6
-9.25 	-1.16e-6
-9.00 	-1.12e-6
-8.75 	-1.09e-6
-8.49 	-1.05e-6
-8.25 	-1.01e-6
-8.01 	-0.97e-6
-7.76 	-0.92e-6
-7.51 	-0.85e-6
-7.24 	-0.73e-6
-7.00 	-0.56e-6
-6.74 	-0.18e-6
-6.50 	0.51e-6
-6.26 	1.94e-6
-6.00 	4.90e-6
-5.75 	10.49e-6
-5.49 	20.74e-6
-5.25 	36.43e-6
-4.99 	62.15e-6
-4.76 	97.13e-6
-4.50 	152.4e-6
-4.25 	217.1e-6
-4.00 	263.5e-6
-3.753 	283.7e-6
-3.508 	297.8e-6
-3.243 	310.2e-6
-3.005 	319.5e-6
-2.747 	328.0e-6
-2.509 	334.7e-6
-2.243 	341.2e-6
-1.999 	346.5e-6
-1.747 	351.1e-6
-1.496 	355.2e-6
-1.252 	358.8e-6
-1.006 	362.1e-6
-0.753 	365.0e-6
-0.501 	367.6e-6
-0.2560 	369.8e-6
-0.2304 	370.0e-6
