% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-5.180482E-7
-14.994000	-4.756730E-7
-14.988000	-2.811430E-7
-14.982000	-3.403984E-7
-14.976000	-2.980232E-7
-14.970000	-2.684537E-7
-14.964000	2.211891E-9
-14.958000	-1.669396E-7
-14.952000	-1.119915E-7
-14.946000	-2.642628E-7
-14.940000	-2.599554E-7
-14.934000	-4.038448E-7
-14.928000	-4.165340E-7
-14.922000	-4.122267E-7
-14.916000	-5.518086E-7
-14.910000	-3.784662E-7
-14.904000	-3.784662E-7
-14.898000	-3.403984E-7
-14.892000	-3.319001E-7
-14.886000	-2.853340E-7
-14.880000	-3.585592E-8
-14.874000	-2.303859E-7
-14.868000	-2.599554E-7
-14.862000	-1.881272E-7
-14.856000	-1.584413E-7
-14.850000	-2.008164E-7
-14.844000	-2.726447E-7
-14.838000	-3.741588E-7
-14.832000	-3.699679E-7
-14.826000	-4.799804E-7
-14.820000	-4.968606E-7
-14.814000	-4.799804E-7
-14.808000	-3.150199E-7
-14.802000	-2.599554E-7
-14.796000	-2.853340E-7
-14.790000	-1.965091E-7
-14.784000	-1.838198E-7
-14.778000	-9.080395E-8
-14.772000	-2.726447E-7
-14.766000	-1.669396E-7
-14.760000	-2.896413E-7
-14.754000	-2.811430E-7
-14.748000	-4.672911E-7
-14.742000	-5.137408E-7
-14.736000	-4.672911E-7
-14.730000	-4.502945E-7
-14.724000	-4.207250E-7
-14.718000	-3.699679E-7
-14.712000	-2.980232E-7
-14.706000	-2.684537E-7
-14.700000	-1.330627E-7
-14.694000	-1.034932E-7
-14.688000	-1.034932E-7
-14.682000	-1.669396E-7
-14.676000	-2.050074E-7
-14.670000	-2.303859E-7
-14.664000	-2.811430E-7
-14.658000	-5.307375E-7
-14.652000	-4.122267E-7
-14.645500	-3.953464E-7
-14.639500	-4.502945E-7
-14.633500	-3.403984E-7
-14.627500	-3.234018E-7
-14.621500	-2.938323E-7
-14.615500	-2.472661E-7
-14.609500	-1.838198E-7
-14.603500	-4.423782E-8
-14.597500	-2.135057E-7
-14.591500	-3.911555E-7
-14.585500	-2.091983E-7
-14.579500	-3.065215E-7
-14.573500	-2.472661E-7
-14.567500	-4.587928E-7
-14.561500	-3.023306E-7
-14.555500	-4.756730E-7
-14.549500	-4.080357E-7
-14.543500	-4.334142E-7
-14.537500	-3.699679E-7
-14.531500	-2.853340E-7
-14.525500	-3.403984E-7
-14.519500	-1.500593E-7
-14.513500	-1.711305E-7
-14.507500	-7.811468E-8
-14.501500	-1.500593E-7
-14.495500	-1.246808E-7
-14.489500	-1.584413E-7
-14.483500	-1.500593E-7
-14.477500	-2.811430E-7
-14.471500	-4.080357E-7
-14.465500	-3.911555E-7
-14.459500	-5.180482E-7
-14.453500	-5.391194E-7
-14.447500	-4.207250E-7
-14.441500	-3.403984E-7
-14.435500	-2.557645E-7
-14.429500	-2.091983E-7
-14.423500	-1.754379E-7
-14.417500	-1.965091E-7
-14.411500	-2.091983E-7
-14.405500	-2.642628E-7
-14.399500	-2.218876E-7
-14.393500	-2.135057E-7
-14.387500	-3.784662E-7
-14.381500	-3.530877E-7
-14.375500	-4.502945E-7
-14.369500	-4.165340E-7
-14.363500	-5.391194E-7
-14.357500	-3.911555E-7
-14.351500	-3.995374E-7
-14.345500	-2.642628E-7
-14.339500	-2.557645E-7
-14.333500	-1.246808E-7
-14.327500	-1.838198E-7
-14.321500	-1.373701E-7
-14.315500	-1.584413E-7
-14.309500	-2.091983E-7
-14.303500	-2.345769E-7
-14.297500	-2.008164E-7
-14.291500	-3.530877E-7
-14.285500	-4.122267E-7
-14.279500	-3.277091E-7
-14.273500	-4.038448E-7
-14.267500	-4.334142E-7
-14.261500	-4.249159E-7
-14.255500	-3.150199E-7
-14.249500	-2.896413E-7
-14.243500	-1.373701E-7
-14.237500	-1.415610E-7
-14.231500	-1.076842E-7
-14.225500	-1.669396E-7
-14.219500	-1.965091E-7
-14.213500	-2.515735E-7
-14.207500	-2.599554E-7
-14.201500	-3.487803E-7
-14.195500	-4.419126E-7
-14.189500	-4.629837E-7
-14.183500	-5.095499E-7
-14.177500	-4.080357E-7
-14.171500	-3.403984E-7
-14.165500	-3.065215E-7
-14.159500	-3.107125E-7
-14.153500	-1.669396E-7
-14.147500	-1.881272E-7
-14.141500	-2.345769E-7
-14.135500	-2.472661E-7
-14.129500	-3.585592E-8
-14.123500	-2.091983E-7
-14.117500	-3.360910E-7
-14.111500	-3.741588E-7
-14.105500	-4.419126E-7
-14.099500	-3.445894E-7
-14.093500	-3.868481E-7
-14.087500	-3.784662E-7
-14.081500	-4.883623E-7
-14.075500	-3.192108E-7
-14.069500	-2.472661E-7
-14.063500	-2.303859E-7
-14.057500	-1.923181E-7
-14.051500	-2.345769E-7
-14.045500	-1.415610E-7
-14.039500	-6.286427E-9
-14.033500	-3.445894E-7
-14.027500	-2.218876E-7
-14.021500	-4.122267E-7
-14.015500	-3.657769E-7
-14.009500	-4.799804E-7
-14.003500	-4.334142E-7
-13.997500	-4.714821E-7
-13.991500	-3.868481E-7
-13.985500	-4.968606E-7
-13.979500	-2.938323E-7
-13.973500	-2.135057E-7
-13.967500	-2.599554E-7
-13.961500	-2.135057E-7
-13.955500	-1.627486E-7
-13.949000	-2.388842E-7
-13.943000	-1.288718E-7
-13.937000	-2.472661E-7
-13.931000	-3.150199E-7
-13.925000	-3.360910E-7
-13.919000	-4.672911E-7
-13.913000	-5.053589E-7
-13.907000	-5.095499E-7
-13.901000	-3.699679E-7
-13.895000	-3.530877E-7
-13.889000	-2.769521E-7
-13.883000	-3.530877E-7
-13.877000	-1.119915E-7
-13.871000	-2.642628E-7
-13.865000	-1.796288E-7
-13.859000	-6.286427E-9
-13.853000	-1.203734E-7
-13.847000	-2.769521E-7
-13.841000	-3.319001E-7
-13.835000	-3.319001E-7
-13.829000	-5.307375E-7
-13.823000	-5.264301E-7
-13.817000	-5.180482E-7
-13.811000	-3.868481E-7
-13.805000	-3.868481E-7
-13.799000	-1.584413E-7
-13.793000	-3.023306E-7
-13.787000	-2.980232E-7
-13.781000	-1.076842E-7
-13.775000	-1.076842E-7
-13.769000	-2.008164E-7
-13.763000	-2.135057E-7
-13.757000	-3.107125E-7
-13.751000	-1.500593E-7
-13.745000	-3.445894E-7
-13.739000	-3.911555E-7
-13.733000	-2.599554E-7
-13.727000	-5.686888E-7
-13.721000	-3.572786E-7
-13.715000	-3.319001E-7
-13.709000	-2.853340E-7
-13.703000	-2.599554E-7
-13.697000	-1.500593E-7
-13.691000	-1.584413E-7
-13.685000	-1.047738E-8
-13.679000	-1.669396E-7
-13.673000	-1.500593E-7
-13.667000	-2.557645E-7
-13.661000	-1.796288E-7
-13.655000	-4.756730E-7
-13.649000	-5.095499E-7
-13.643000	-4.038448E-7
-13.637000	-5.307375E-7
-13.631000	-3.784662E-7
-13.625000	-3.699679E-7
-13.619000	-2.472661E-7
-13.613000	-3.107125E-7
-13.607000	-1.754379E-7
-13.601000	-1.542503E-7
-13.595000	-1.979060E-9
-13.589000	-1.500593E-7
-13.583000	-1.542503E-7
-13.577000	-2.218876E-7
-13.571000	-2.726447E-7
-13.565000	-2.684537E-7
-13.559000	-3.699679E-7
-13.553000	-3.741588E-7
-13.547000	-4.080357E-7
-13.541000	-4.249159E-7
-13.535000	-3.911555E-7
-13.529000	-4.249159E-7
-13.523000	-2.980232E-7
-13.517000	-2.008164E-7
-13.511000	-1.203734E-7
-13.505000	-1.881272E-7
-13.499000	-1.034932E-7
-13.493000	-1.415610E-7
-13.487000	-1.881272E-7
-13.481000	-2.303859E-7
-13.475000	-4.546018E-7
-13.469000	-2.642628E-7
-13.463000	-3.445894E-7
-13.457000	-5.434267E-7
-13.451000	-3.868481E-7
-13.445000	-4.883623E-7
-13.439000	-2.684537E-7
-13.433000	-3.023306E-7
-13.427000	-2.218876E-7
-13.421000	-2.599554E-7
-13.415000	-1.119915E-7
-13.409000	-5.692709E-8
-13.403000	-6.286427E-9
-13.397000	-1.669396E-7
-13.391000	-2.388842E-7
-13.385000	-2.980232E-7
-13.379000	-4.038448E-7
-13.373000	-4.165340E-7
-13.367000	-4.038448E-7
-13.361000	-3.868481E-7
-13.355000	-4.841713E-7
-13.349000	-2.896413E-7
-13.343000	-2.388842E-7
-13.337000	-7.811468E-8
-13.331000	-2.938323E-7
-13.325000	-1.119915E-7
-13.319000	-1.796288E-7
-13.313000	-1.584413E-7
-13.307000	-2.345769E-7
-13.301000	-2.430752E-7
-13.295000	-1.669396E-7
-13.289000	-2.135057E-7
-13.283000	-5.137408E-7
-13.277000	-4.376052E-7
-13.271000	-4.292233E-7
-13.265000	-3.995374E-7
-13.258500	-3.107125E-7
-13.252500	-2.303859E-7
-13.246500	-1.669396E-7
-13.240500	-2.472661E-7
-13.234500	-2.218876E-7
-13.228500	-1.415610E-7
-13.222500	6.402843E-9
-13.216500	-2.472661E-7
-13.210500	-2.472661E-7
-13.204500	-3.065215E-7
-13.198500	-3.741588E-7
-13.192500	-3.657769E-7
-13.186500	-5.180482E-7
-13.180500	-3.826572E-7
-13.174500	-4.122267E-7
-13.168500	-3.826572E-7
-13.162500	-2.303859E-7
-13.156500	-3.065215E-7
-13.150500	-2.261950E-7
-13.144500	-1.203734E-7
-13.138500	-1.119915E-7
-13.132500	1.490116E-8
-13.126500	-2.345769E-7
-13.120500	-3.023306E-7
-13.114500	-2.303859E-7
-13.108500	-2.938323E-7
-13.102500	-6.533228E-7
-13.096500	-5.222391E-7
-13.090500	-3.868481E-7
-13.084500	-4.038448E-7
-13.078500	-3.741588E-7
-13.072500	-2.472661E-7
-13.066500	-2.599554E-7
-13.060500	-2.008164E-7
-13.054500	-2.345769E-7
-13.048500	-1.373701E-7
-13.042500	-7.392373E-8
-13.036500	-2.303859E-7
-13.030500	-7.811468E-8
-13.024500	-2.896413E-7
-13.018500	-2.684537E-7
-13.012500	-4.080357E-7
-13.006500	-3.868481E-7
-13.000500	-3.911555E-7
-12.994500	-4.334142E-7
-12.988500	-4.122267E-7
-12.982500	-2.345769E-7
-12.976500	-2.345769E-7
-12.970500	-1.373701E-7
-12.964500	-1.838198E-7
-12.958500	2.211891E-9
-12.952500	-1.669396E-7
-12.946500	-1.373701E-7
-12.940500	-1.669396E-7
-12.934500	-2.684537E-7
-12.928500	-2.938323E-7
-12.922500	-6.110640E-7
-12.916500	-5.264301E-7
-12.910500	-3.150199E-7
-12.904500	-3.826572E-7
-12.898500	-3.741588E-7
-12.892500	-3.572786E-7
-12.886500	-2.853340E-7
-12.880500	-1.373701E-7
-12.874500	1.490116E-8
-12.868500	-1.457520E-7
-12.862500	-1.330627E-7
-12.856500	-2.599554E-7
-12.850500	-2.388842E-7
-12.844500	-1.542503E-7
-12.838500	-3.234018E-7
-12.832500	-4.165340E-7
-12.826500	-2.853340E-7
-12.820500	-3.953464E-7
-12.814500	-3.826572E-7
-12.808500	-2.515735E-7
-12.802500	-3.657769E-7
-12.796500	-3.150199E-7
-12.790500	-2.557645E-7
-12.784500	-1.119915E-7
-12.778500	-9.080395E-8
-12.772500	-1.627486E-7
-12.766500	-4.423782E-8
-12.760500	-4.854519E-8
-12.754500	-2.769521E-7
-12.748500	-2.896413E-7
-12.742500	-3.107125E-7
-12.736500	-4.080357E-7
-12.730500	-4.968606E-7
-12.724500	-2.726447E-7
-12.718500	-3.530877E-7
-12.712500	-3.614696E-7
-12.706500	-2.853340E-7
