% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-7.166527E-7
-14.994000	-4.164176E-7
-14.988000	-3.402820E-7
-14.982000	-2.472661E-7
-14.976000	-2.683373E-7
-14.970000	-2.218876E-7
-14.964000	-2.133893E-7
-14.958000	-3.952300E-7
-14.952000	-2.980232E-7
-14.946000	-3.910391E-7
-14.940000	-4.079193E-7
-14.934000	-3.444729E-7
-14.928000	-4.586764E-7
-14.922000	-5.390029E-7
-14.916000	-4.882459E-7
-14.910000	-4.755566E-7
-14.904000	-3.234018E-7
-14.898000	-3.741588E-7
-14.892000	-3.149034E-7
-14.886000	-9.918585E-8
-14.880000	-1.922017E-7
-14.874000	-1.795124E-7
-14.868000	-2.091983E-7
-14.862000	-2.641464E-7
-14.856000	-3.149034E-7
-14.850000	-4.037283E-7
-14.844000	-4.967442E-7
-14.838000	-3.402820E-7
-14.832000	-4.121102E-7
-14.826000	-4.291069E-7
-14.820000	-3.868481E-7
-14.814000	-3.107125E-7
-14.808000	-3.571622E-7
-14.802000	-2.218876E-7
-14.796000	-3.275927E-7
-14.790000	-1.838198E-7
-14.784000	-4.374888E-7
-14.778000	-2.175802E-7
-14.772000	-4.164176E-7
-14.766000	-3.656605E-7
-14.760000	-3.825407E-7
-14.754000	-5.179318E-7
-14.748000	-5.094334E-7
-14.742000	-5.094334E-7
-14.736000	-4.206086E-7
-14.730000	-3.234018E-7
-14.724000	-3.952300E-7
-14.718000	-3.741588E-7
-14.712000	-3.022142E-7
-14.706000	-3.571622E-7
-14.700000	-2.514571E-7
-14.694000	-2.387678E-7
-14.688000	-2.599554E-7
-14.682000	-2.768356E-7
-14.676000	-3.571622E-7
-14.670000	-4.798640E-7
-14.664000	-4.332978E-7
-14.658000	-6.194459E-7
-14.652000	-4.671747E-7
-14.645500	-4.967442E-7
-14.639500	-3.698515E-7
-14.633500	-4.713656E-7
-14.627500	-3.064051E-7
-14.621500	-2.218876E-7
-14.615500	-1.711305E-7
-14.609500	-2.133893E-7
-14.603500	-3.360910E-7
-14.597500	-2.556480E-7
-14.591500	-3.234018E-7
-14.585500	-4.586764E-7
