% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-5.856855E-7
-14.994000	-4.291069E-7
-14.988000	-4.925532E-7
-14.982000	-4.461035E-7
-14.976000	-4.671747E-7
-14.970000	-3.910391E-7
-14.964000	-4.544854E-7
-14.958000	-2.091983E-7
-14.952000	-3.275927E-7
-14.946000	-4.207250E-7
-14.940000	-4.291069E-7
-14.934000	-5.222391E-7
-14.928000	-3.192108E-7
-14.922000	-5.856855E-7
-14.916000	-3.656605E-7
-14.910000	-3.487803E-7
-14.904000	-4.037283E-7
-14.898000	-4.587928E-7
-14.892000	-2.726447E-7
-14.886000	-4.291069E-7
-14.880000	-5.222391E-7
-14.874000	-4.714821E-7
-14.868000	-4.841713E-7
-14.862000	-3.487803E-7
-14.856000	-3.234018E-7
-14.850000	-5.644979E-7
-14.844000	-2.853340E-7
-14.838000	-3.699679E-7
-14.832000	-4.417961E-7
-14.826000	-3.656605E-7
-14.820000	-3.107125E-7
-14.814000	-5.052425E-7
-14.808000	-5.603069E-7
-14.802000	-6.575137E-7
-14.796000	-5.559996E-7
-14.790000	-4.080357E-7
-14.784000	-4.037283E-7
-14.778000	-6.236369E-7
-14.772000	-5.433103E-7
-14.766000	-4.080357E-7
-14.760000	-4.291069E-7
-14.754000	-2.642628E-7
-14.748000	-3.360910E-7
-14.742000	-2.345769E-7
-14.736000	-4.756730E-7
-14.730000	-4.207250E-7
-14.724000	-4.080357E-7
-14.718000	-4.080357E-7
-14.712000	-4.756730E-7
-14.706000	-4.502945E-7
-14.700000	-4.207250E-7
-14.694000	-6.490154E-7
-14.688000	-4.461035E-7
-14.682000	-4.629837E-7
-14.676000	-3.656605E-7
-14.670000	-5.010515E-7
-14.664000	-3.783498E-7
-14.658000	-3.741588E-7
-14.652000	-3.150199E-7
-14.645500	-3.995374E-7
-14.639500	-3.699679E-7
-14.633500	-5.264301E-7
-14.627500	-4.334142E-7
-14.621500	-5.559996E-7
-14.615500	-5.771872E-7
-14.609500	-4.714821E-7
-14.603500	-6.490154E-7
-14.597500	-3.319001E-7
-14.591500	-4.249159E-7
-14.585500	-5.433103E-7
-14.579500	-3.783498E-7
-14.573500	-1.330627E-7
-14.567500	-2.896413E-7
-14.561500	-1.965091E-7
-14.555500	-3.572786E-7
-14.549500	-3.529713E-7
-14.543500	-3.656605E-7
-14.537500	-6.406335E-7
-14.531500	-5.391194E-7
-14.525500	-4.714821E-7
-14.519500	-4.249159E-7
-14.513500	-4.461035E-7
-14.507500	-4.334142E-7
-14.501500	-4.714821E-7
-14.495500	-4.376052E-7
-14.489500	-4.249159E-7
-14.483500	-3.572786E-7
-14.477500	-1.542503E-7
-14.471500	-3.445894E-7
-14.465500	-3.699679E-7
-14.459500	-3.868481E-7
-14.453500	-4.756730E-7
-14.447500	-3.995374E-7
-14.441500	-6.279442E-7
-14.435500	-5.391194E-7
-14.429500	-2.515735E-7
-14.423500	-4.122267E-7
-14.417500	-3.826572E-7
-14.411500	-4.671747E-7
-14.405500	-3.445894E-7
-14.399500	-3.360910E-7
-14.393500	-2.938323E-7
-14.387500	-5.179318E-7
-14.381500	-2.557645E-7
-14.375500	-6.490154E-7
-14.369500	-3.656605E-7
-14.363500	-4.544854E-7
-14.357500	-3.741588E-7
-14.351500	-5.391194E-7
-14.345500	-4.080357E-7
-14.339500	-4.376052E-7
-14.333500	-4.461035E-7
-14.327500	-4.502945E-7
-14.321500	-4.756730E-7
-14.315500	-5.856855E-7
-14.309500	-3.023306E-7
-14.303500	-3.402820E-7
-14.297500	-3.910391E-7
-14.291500	-4.756730E-7
-14.285500	-3.741588E-7
-14.279500	-3.529713E-7
-14.273500	-4.461035E-7
-14.267500	-5.349284E-7
-14.261500	-4.164176E-7
-14.255500	-4.207250E-7
-14.249500	-6.152550E-7
-14.243500	-4.883623E-7
-14.237500	-6.321352E-7
-14.231500	-4.376052E-7
-14.225500	-3.065215E-7
-14.219500	-5.137408E-7
-14.213500	-3.741588E-7
-14.207500	-3.783498E-7
-14.201500	-4.841713E-7
-14.195500	-3.275927E-7
-14.189500	-4.122267E-7
-14.183500	-4.164176E-7
-14.177500	-5.771872E-7
-14.171500	-4.417961E-7
-14.165500	-5.095499E-7
-14.159500	-5.137408E-7
-14.153500	-4.461035E-7
-14.147500	-4.714821E-7
-14.141500	-4.164176E-7
-14.135500	-3.572786E-7
-14.129500	-4.417961E-7
-14.123500	-1.034932E-7
-14.117500	-3.783498E-7
-14.111500	-1.542503E-7
-14.105500	-2.726447E-7
-14.099500	-5.940674E-7
-14.093500	-3.529713E-7
-14.087500	-3.192108E-7
-14.081500	-4.376052E-7
-14.075500	-4.207250E-7
-14.069500	-4.798640E-7
-14.063500	-5.686888E-7
-14.057500	-3.445894E-7
-14.051500	-3.572786E-7
-14.045500	-5.559996E-7
-14.039500	-3.868481E-7
-14.033500	-3.826572E-7
-14.027500	-3.402820E-7
-14.021500	-3.192108E-7
-14.015500	-1.584413E-7
-14.009500	-3.699679E-7
-14.003500	-4.291069E-7
-13.997500	-3.783498E-7
-13.991500	-3.995374E-7
-13.985500	-5.518086E-7
-13.979500	-4.164176E-7
-13.973500	-5.010515E-7
-13.967500	-4.756730E-7
