% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-6.787013E-7
-14.988000	-4.883623E-7
-14.976000	-4.714821E-7
-14.964000	-4.291069E-7
-14.952000	-4.164176E-7
-14.940000	-3.572786E-7
-14.928000	-2.345769E-7
-14.916000	-3.445894E-7
-14.904000	-5.137408E-7
-14.892000	-3.319001E-7
-14.880000	-5.771872E-7
-14.868000	-4.544854E-7
-14.856000	-6.194459E-7
-14.844000	-4.037283E-7
-14.832000	-6.067567E-7
-14.820000	-2.768356E-7
-14.808000	-4.841713E-7
-14.796000	-3.868481E-7
-14.784000	-4.164176E-7
-14.772000	-3.783498E-7
-14.760000	-5.518086E-7
-14.748000	-4.080357E-7
-14.736000	-2.726447E-7
-14.724000	-1.457520E-7
-14.712000	-5.391194E-7
-14.700000	-3.783498E-7
-14.688000	-3.656605E-7
-14.675500	-4.968606E-7
-14.663500	-4.671747E-7
-14.651500	-6.533228E-7
-14.639500	-4.798640E-7
-14.627500	-5.264301E-7
-14.615500	-5.644979E-7
-14.603500	-5.940674E-7
-14.591500	-1.965091E-7
-14.579500	-3.572786E-7
-14.567500	-4.841713E-7
-14.555500	-3.529713E-7
-14.543500	-2.895249E-7
-14.531500	-5.095499E-7
-14.519500	-4.080357E-7
-14.507500	-3.741588E-7
-14.495500	-2.599554E-7
-14.483500	-6.109476E-7
-14.471500	-5.518086E-7
-14.459500	-2.599554E-7
-14.447500	-4.037283E-7
-14.435500	-5.348120E-7
-14.423500	-4.207250E-7
-14.411500	-3.868481E-7
-14.399500	-1.627486E-7
-14.387500	-4.080357E-7
-14.375500	-3.107125E-7
-14.363500	-3.868481E-7
-14.351500	-3.614696E-7
-14.339500	-1.923181E-7
-14.327500	-4.417961E-7
-14.315500	-5.518086E-7
-14.303500	-4.207250E-7
-14.291500	-4.714821E-7
-14.279500	-7.209601E-7
-14.267500	-2.557645E-7
-14.255500	-4.291069E-7
-14.243500	-4.671747E-7
-14.231500	-3.275927E-7
-14.219500	-3.319001E-7
-14.207500	-4.714821E-7
-14.195500	-2.980232E-7
-14.183500	-3.826572E-7
-14.171500	-3.995374E-7
-14.159500	-4.249159E-7
-14.147500	-4.164176E-7
-14.135500	-4.249159E-7
-14.123500	-5.644979E-7
-14.111500	-5.940674E-7
-14.099500	-4.291069E-7
-14.087500	-4.461035E-7
-14.075500	-6.702030E-7
-14.063500	-5.010515E-7
-14.051000	-2.050074E-7
-14.039000	-3.022142E-7
-14.027000	-1.923181E-7
-14.015000	-3.319001E-7
-14.003000	-2.895249E-7
-13.991000	-2.811430E-7
-13.979000	-2.135057E-7
-13.967000	-4.249159E-7
-13.955000	-3.910391E-7
-13.943000	-5.264301E-7
-13.931000	-4.249159E-7
-13.919000	-8.097850E-7
-13.907000	-6.194459E-7
-13.895000	-5.306210E-7
-13.883000	-4.671747E-7
-13.871000	-3.868481E-7
-13.859000	-3.783498E-7
-13.847000	-3.995374E-7
-13.835000	-1.711305E-7
-13.823000	-3.826572E-7
-13.811000	-3.572786E-7
-13.799000	-4.925532E-7
-13.787000	-4.376052E-7
-13.775000	-4.544854E-7
-13.763000	-6.279442E-7
-13.751000	-4.883623E-7
-13.739000	-4.417961E-7
-13.727000	-5.221227E-7
-13.715000	-4.671747E-7
-13.703000	-2.303859E-7
-13.691000	-4.291069E-7
-13.679000	-4.629837E-7
-13.667000	-4.122267E-7
-13.655000	-3.910391E-7
-13.643000	-2.768356E-7
-13.631000	-3.402820E-7
-13.619000	-3.699679E-7
-13.607000	-3.445894E-7
-13.595000	-4.502945E-7
-13.583000	-4.461035E-7
-13.571000	-4.164176E-7
-13.559000	-5.348120E-7
-13.547000	-5.221227E-7
-13.535000	-2.684537E-7
-13.523000	-4.756730E-7
-13.511000	-5.686888E-7
-13.499000	-3.360910E-7
-13.487000	-5.095499E-7
-13.475000	-2.853340E-7
-13.463000	-3.234018E-7
-13.451000	-3.234018E-7
-13.439000	-4.376052E-7
-13.426500	-3.910391E-7
-13.414500	-5.601905E-7
-13.402500	-4.798640E-7
-13.390500	-3.487803E-7
-13.378500	-4.714821E-7
-13.366500	-4.417961E-7
-13.354500	-3.953464E-7
-13.342500	-4.461035E-7
-13.330500	-4.544854E-7
-13.318500	-4.080357E-7
-13.306500	-2.853340E-7
-13.294500	-3.487803E-7
-13.282500	-1.627486E-7
-13.270500	-1.415610E-7
