% Langmuir characteristic curve

% U (Volt)	I (A)
0.000000	-3.209710E-5
0.060000	-2.278388E-5
0.120000	-3.041327E-5
0.180000	-1.938641E-5
0.240000	-2.871454E-5
0.300000	-3.337860E-5
0.360000	-4.991889E-6
0.420000	-2.320111E-5
0.480000	-3.209710E-5
0.540000	-2.744794E-5
0.600000	-3.167987E-5
0.660000	-2.574921E-5
0.720000	-3.379583E-5
0.780000	-3.294647E-5
0.840000	-2.574921E-5
0.900000	-1.811981E-5
0.960000	-2.871454E-5
1.020000	-2.066791E-5
1.080000	-2.744794E-5
1.140000	-2.489984E-5
1.200000	-2.828240E-5
1.260000	-4.142523E-6
1.320000	-2.235174E-5
1.380000	-4.142523E-5
1.440000	-3.464520E-5
1.500000	-4.565716E-5
1.560000	-2.320111E-5
1.620000	-2.235174E-5
1.680000	-3.252923E-5
1.740000	-2.574921E-5
1.800000	-2.320111E-5
1.860000	-2.151728E-5
1.920000	-4.142523E-6
1.980000	-2.235174E-5
2.040000	-3.379583E-5
2.100000	-2.278388E-5
2.160000	-6.675720E-6
2.220000	-2.489984E-5
2.280000	-2.998114E-5
2.340000	-2.278388E-5
2.400000	-3.421307E-5
2.460000	-2.066791E-5
2.520000	-2.193451E-5
2.580000	-5.841255E-6
2.640000	-2.151728E-5
2.700000	-1.685321E-5
2.760000	-4.692376E-5
2.820000	-3.124774E-5
2.880000	-4.142523E-6
2.940000	-2.956390E-5
3.000000	-4.227459E-5
3.060000	-3.167987E-5
3.120000	-3.252923E-5
3.185000	-1.811981E-5
3.245000	-2.913177E-5
3.305000	-3.464520E-5
3.365000	-2.744794E-5
3.425000	-2.363324E-5
3.485000	-2.744794E-5
3.545000	-2.235174E-5
3.605000	-2.108514E-5
3.665000	-2.489984E-5
3.725000	-2.701581E-5
3.785000	-2.786517E-5
3.845000	-3.710389E-6
3.905000	-3.041327E-5
3.965000	-4.395843E-5
4.025000	-3.464520E-5
4.085000	-4.692376E-5
4.145000	-4.607439E-5
4.205000	-2.744794E-5
4.265000	-3.379583E-5
4.325000	-3.293157E-6
4.385000	-4.480779E-5
4.445000	-7.107854E-6
4.505000	-2.913177E-5
4.565000	-2.701581E-5
4.625000	-3.294647E-5
4.685000	-2.871454E-5
4.745000	-2.531707E-5
4.805000	-4.142523E-6
4.865000	-4.947186E-5
4.925000	-2.235174E-5
4.985000	-2.448261E-5
5.045000	-4.184246E-5
5.105000	-2.574921E-5
5.165000	-2.066791E-5
5.225000	-2.913177E-5
5.285000	-3.717840E-5
5.345000	-3.464520E-5
5.405000	-1.811981E-5
5.465000	-4.142523E-6
5.525000	-7.107854E-6
5.585000	-2.871454E-5
5.645000	-4.269183E-5
5.705000	-2.023578E-5
5.765000	-2.066791E-5
5.825000	-4.354119E-5
5.885000	-2.108514E-5
5.945000	-2.405047E-5
6.005000	-4.099309E-5
6.065000	-3.337860E-5
6.125000	-4.142523E-6
6.185000	-4.354119E-5
6.245000	-3.167987E-5
6.305000	-3.294647E-5
6.365000	-3.167987E-5
6.425000	-2.151728E-5
6.485000	-3.294647E-5
6.545000	-2.278388E-5
6.605000	-1.685321E-5
6.665000	-3.083050E-5
6.725000	-3.506243E-5
6.785000	-4.559755E-6
6.845000	-4.269183E-5
6.905000	-2.786517E-5
6.965000	-3.083050E-5
7.025000	-3.379583E-5
7.085000	-3.252923E-5
7.145000	-2.278388E-5
7.205000	-1.727045E-5
7.265000	-2.235174E-5
7.325000	-4.692376E-5
7.385000	-2.616644E-5
7.445000	-2.235174E-5
7.505000	-3.167987E-5
7.565000	-2.744794E-5
7.625000	-2.913177E-5
7.685000	-2.278388E-5
7.745000	-1.770258E-5
7.805000	-2.871454E-5
7.865000	-4.142523E-6
7.925000	-2.744794E-5
7.985000	-2.828240E-5
8.045000	-2.659857E-5
