% Langmuir characteristic curve

% U (Volt)	I (A)
150.000000	0.000769
149.940002	0.000765
149.880005	0.000759
149.820007	0.000760
149.759995	0.000763
149.699997	0.000765
149.639999	0.000745
149.580002	0.000743
149.520004	0.000745
149.460007	0.000758
149.399994	0.000757
149.339996	0.000779
149.279999	0.000761
149.220001	0.000760
149.160004	0.000749
149.100006	0.000741
149.039993	0.000760
148.979996	0.000738
148.919998	0.000756
148.860001	0.000746
148.800003	0.000747
148.740005	0.000746
148.679993	0.000753
148.619995	0.000742
148.559998	0.000753
148.500000	0.000739
148.440002	0.000744
148.380005	0.000744
148.320007	0.000768
148.259995	0.000752
148.199997	0.000730
148.139999	0.000749
148.080002	0.000718
148.020004	0.000738
147.960007	0.000740
147.899994	0.000742
147.839996	0.000735
147.779999	0.000734
147.720001	0.000746
147.660004	0.000739
147.600006	0.000732
147.539993	0.000741
147.479996	0.000735
147.419998	0.000721
147.360001	0.000737
147.300003	0.000757
147.240005	0.000730
147.179993	0.000730
147.119995	0.000732
147.059998	0.000727
147.000000	0.000734
146.940002	0.000723
146.880005	0.000727
146.820007	0.000739
146.759995	0.000710
146.699997	0.000725
146.639999	0.000719
146.580002	0.000750
146.520004	0.000731
146.455002	0.000720
146.395004	0.000722
146.335007	0.000726
146.274994	0.000714
146.214996	0.000721
146.154999	0.000724
146.095001	0.000729
146.035004	0.000708
145.975006	0.000718
145.914993	0.000720
145.854996	0.000720
145.794998	0.000719
145.735001	0.000710
145.675003	0.000725
145.615005	0.000716
145.554993	0.000702
145.494995	0.000708
145.434998	0.000713
145.375000	0.000718
145.315002	0.000721
145.255005	0.000700
145.195007	0.000702
145.134995	0.000736
145.074997	0.000716
145.014999	0.000697
144.955002	0.000713
144.895004	0.000711
144.835007	0.000716
144.774994	0.000712
144.714996	0.000710
144.654999	0.000730
144.595001	0.000691
144.535004	0.000707
144.475006	0.000706
144.414993	0.000713
144.354996	0.000701
144.294998	0.000709
144.235001	0.000710
144.175003	0.000729
144.115005	0.000709
144.054993	0.000709
143.994995	0.000702
143.934998	0.000705
143.875000	0.000699
143.815002	0.000706
143.755005	0.000696
143.695007	0.000696
143.634995	0.000694
143.574997	0.000705
143.514999	0.000702
143.455002	0.000699
143.395004	0.000680
143.335007	0.000684
143.274994	0.000681
143.214996	0.000678
143.154999	0.000696
143.095001	0.000716
143.035004	0.000694
142.975006	0.000694
142.914993	0.000696
142.854996	0.000693
142.794998	0.000688
142.735001	0.000677
142.675003	0.000690
142.615005	0.000683
142.554993	0.000710
142.494995	0.000688
142.434998	0.000686
142.375000	0.000690
142.315002	0.000691
142.255005	0.000691
142.195007	0.000685
142.134995	0.000684
142.074997	0.000675
142.014999	0.000669
141.955002	0.000679
141.895004	0.000666
141.835007	0.000685
141.774994	0.000682
141.714996	0.000676
141.654999	0.000701
141.595001	0.000667
141.535004	0.000677
141.475006	0.000684
141.414993	0.000679
141.354996	0.000657
141.294998	0.000674
141.235001	0.000672
141.175003	0.000658
141.115005	0.000671
141.054993	0.000695
140.994995	0.000674
140.934998	0.000679
