% Langmuir characteristic curve

% U (Volt)	I (A)
44.900002	-3.319001E-7
44.904999	-1.880107E-7
44.910000	-4.423782E-8
44.919998	-1.499429E-7
44.924999	-2.514571E-7
44.930000	-2.133893E-7
44.935001	-1.626322E-7
44.939999	-3.826572E-7
44.950001	-6.109476E-7
44.955002	-5.010515E-7
44.959999	-4.291069E-7
44.965000	-4.207250E-7
44.970001	-3.741588E-7
44.980000	-2.980232E-7
44.985001	-4.587928E-7
44.990002	-2.895249E-7
44.994999	-1.034932E-7
45.000000	-1.245644E-7
45.009998	-1.161825E-7
45.014999	-3.065215E-7
45.020000	-2.387678E-7
45.025002	-2.726447E-7
45.029999	-3.487803E-7
45.040001	-2.768356E-7
45.044998	-4.334142E-7
45.049999	-4.291069E-7
45.055000	-4.207250E-7
45.060001	-3.953464E-7
45.070000	-4.207250E-7
45.075001	-2.514571E-7
45.080002	-2.768356E-7
45.084999	-2.260786E-7
45.090000	-2.768356E-7
45.099998	-1.542503E-7
45.105000	-2.316665E-8
45.110001	-2.303859E-7
45.115002	-3.319001E-7
45.119999	-4.798640E-7
45.130001	-5.010515E-7
45.134998	-6.109476E-7
45.139999	-4.841713E-7
45.145000	-4.714821E-7
45.150002	-4.461035E-7
45.160000	-2.853340E-7
45.165001	-2.811430E-7
45.169998	-8.230563E-8
45.174999	-2.684537E-7
45.180000	-1.753215E-7
45.189999	-1.542503E-7
45.195000	-2.133893E-7
45.200001	-1.542503E-7
45.205002	-4.461035E-7
45.209999	-3.065215E-7
45.220001	-2.853340E-7
45.224998	-4.080357E-7
45.230000	-3.360910E-7
45.235001	-5.813781E-7
45.240002	-3.445894E-7
45.250000	-3.275927E-7
45.255001	-4.207250E-7
45.259998	-2.514571E-7
45.264999	-1.669396E-7
45.270000	-3.275927E-7
45.279999	-2.557645E-7
45.285000	-3.065215E-7
45.290001	-2.260786E-7
45.294998	-3.065215E-7
45.299999	-3.022142E-7
45.310001	-5.476177E-7
45.314999	-3.065215E-7
45.320000	-4.249159E-7
45.325001	-5.686888E-7
45.330002	-2.811430E-7
45.340000	-4.122267E-7
45.345001	-3.107125E-7
45.349998	-2.345769E-7
45.355000	-1.838198E-7
45.360001	-1.584413E-7
45.369999	-1.584413E-7
45.375000	-1.288718E-7
45.380001	-4.423782E-8
45.384998	-2.472661E-7
45.389999	-3.656605E-7
45.400002	-4.164176E-7
45.404999	-4.841713E-7
45.410000	-4.376052E-7
45.415001	-4.080357E-7
45.419998	-4.502945E-7
45.430000	-3.572786E-7
45.435001	-3.572786E-7
45.439999	-3.234018E-7
45.445000	-6.111804E-8
45.450001	-1.753215E-7
45.459999	-1.288718E-7
45.465000	-1.203734E-7
45.470001	-3.741588E-7
45.474998	-2.895249E-7
45.480000	-3.826572E-7
45.490002	-5.179318E-7
45.494999	-4.798640E-7
45.500000	-4.417961E-7
45.505001	-3.699679E-7
45.509998	-2.853340E-7
45.520000	-3.445894E-7
45.525002	-2.811430E-7
45.529999	-1.542503E-7
45.535000	-2.007000E-7
45.540001	-1.499429E-7
45.549999	-6.170012E-9
45.555000	-1.796288E-7
45.560001	-3.529713E-7
45.564999	-3.234018E-7
45.570000	-2.641464E-7
45.580002	-2.514571E-7
45.584999	-4.629837E-7
45.590000	-4.925532E-7
45.595001	-4.671747E-7
45.605000	-4.756730E-7
45.610001	-3.360910E-7
45.615002	-3.360910E-7
45.619999	-2.938323E-7
45.625000	-1.880107E-7
45.634998	-2.430752E-7
45.639999	-1.923181E-7
45.645000	2.211891E-9
45.650002	-1.499429E-7
45.654999	-2.430752E-7
45.665001	-2.980232E-7
45.669998	-3.826572E-7
45.674999	-4.502945E-7
45.680000	-5.982583E-7
45.685001	-5.095499E-7
45.695000	-4.461035E-7
45.700001	-5.095499E-7
45.705002	-3.614696E-7
45.709999	-2.345769E-7
45.715000	-2.007000E-7
45.724998	-2.091983E-7
45.730000	-1.499429E-7
45.735001	-1.372537E-7
45.740002	-3.065215E-7
45.744999	-2.345769E-7
45.755001	-1.499429E-7
45.759998	-3.614696E-7
45.764999	-4.334142E-7
45.770000	-4.544854E-7
45.775002	-4.587928E-7
45.785000	-4.502945E-7
45.790001	-4.376052E-7
45.794998	-4.207250E-7
45.799999	-3.402820E-7
45.805000	-3.107125E-7
45.814999	-3.065215E-7
45.820000	-1.965091E-7
45.825001	-1.542503E-7
45.830002	-2.345769E-7
45.834999	-2.599554E-7
45.845001	-3.529713E-7
45.849998	-2.768356E-7
45.855000	-4.544854E-7
45.860001	-3.783498E-7
45.865002	-4.587928E-7
45.875000	-3.910391E-7
45.880001	-5.601905E-7
45.884998	-3.360910E-7
45.889999	-2.853340E-7
45.895000	-2.218876E-7
45.904999	-1.245644E-7
45.910000	-1.288718E-7
45.915001	-1.203734E-7
45.919998	-1.584413E-7
45.924999	-2.735760E-8
45.935001	-3.910391E-7
45.939999	-2.599554E-7
45.945000	-5.686888E-7
45.950001	-5.518086E-7
45.955002	-4.122267E-7
45.965000	-4.798640E-7
45.970001	-3.741588E-7
45.974998	-3.910391E-7
45.980000	-4.207250E-7
45.985001	-2.726447E-7
45.994999	-2.050074E-7
46.000000	-2.811430E-7
46.005001	-3.065215E-7
46.009998	-1.584413E-7
46.014999	-1.880107E-7
46.025002	-2.430752E-7
46.029999	-3.783498E-7
46.035000	-3.656605E-7
46.040001	-4.249159E-7
46.044998	-5.010515E-7
46.055000	-3.868481E-7
46.060001	-3.910391E-7
46.064999	-2.980232E-7
46.070000	-3.445894E-7
46.075001	-2.514571E-7
46.084999	-1.118751E-7
46.090000	-3.065215E-7
46.095001	-1.203734E-7
46.099998	-2.684537E-7
46.105000	-3.149034E-7
46.115002	-2.303859E-7
46.119999	-1.838198E-7
46.125000	-4.376052E-7
46.130001	-4.207250E-7
46.134998	-2.895249E-7
46.145000	-5.771872E-7
46.150002	-4.164176E-7
46.154999	-3.656605E-7
46.160000	-2.557645E-7
46.165001	-2.853340E-7
46.174999	-1.542503E-7
46.180000	-2.684537E-7
46.185001	-1.838198E-7
46.189999	-1.669396E-7
46.195000	-1.711305E-7
46.205002	-2.472661E-7
46.209999	-2.895249E-7
46.215000	-3.995374E-7
46.220001	-3.953464E-7
46.224998	-4.249159E-7
46.235001	-4.461035E-7
46.240002	-5.137408E-7
46.244999	-4.164176E-7
46.250000	-1.669396E-7
46.255001	-3.192108E-7
46.264999	-2.050074E-7
46.270000	-3.107125E-7
46.275002	-1.880107E-7
46.279999	-1.669396E-7
46.285000	-2.387678E-7
46.294998	-2.514571E-7
46.299999	-4.164176E-7
46.305000	-2.684537E-7
46.310001	-3.995374E-7
46.314999	-5.601905E-7
46.325001	-4.968606E-7
46.330002	-4.461035E-7
46.334999	-4.714821E-7
46.340000	-3.614696E-7
46.345001	-2.345769E-7
46.355000	-1.838198E-7
46.360001	-2.768356E-7
46.365002	-1.330627E-7
46.369999	-1.753215E-7
46.375000	-1.626322E-7
46.384998	-1.669396E-7
46.389999	-3.022142E-7
46.395000	-3.529713E-7
46.400002	-4.883623E-7
46.404999	-5.306210E-7
46.415001	-5.898764E-7
46.419998	-3.741588E-7
46.424999	-5.179318E-7
46.430000	-3.234018E-7
46.435001	-2.895249E-7
46.445000	-1.711305E-7
46.450001	-2.980232E-7
46.455002	-1.499429E-7
46.459999	-2.641464E-7
46.465000	-1.669396E-7
46.474998	-2.091983E-7
46.480000	-3.107125E-7
46.485001	-3.275927E-7
46.490002	-4.544854E-7
46.494999	-4.587928E-7
46.505001	-4.968606E-7
46.509998	-4.925532E-7
46.514999	-3.319001E-7
46.520000	-3.614696E-7
46.525002	-3.065215E-7
46.535000	-1.711305E-7
46.540001	-2.684537E-7
46.544998	-1.457520E-7
46.549999	-9.499490E-8
46.555000	-1.753215E-7
46.564999	-3.445894E-7
46.570000	-2.811430E-7
46.575001	-3.402820E-7
46.580002	-3.319001E-7
46.584999	-5.728798E-7
46.595001	-4.461035E-7
46.599998	-3.910391E-7
46.605000	-3.741588E-7
46.610001	-2.980232E-7
46.615002	-4.376052E-7
46.625000	-1.499429E-7
46.630001	-2.176967E-7
46.634998	-6.170012E-9
46.639999	-2.938323E-7
46.645000	-1.626322E-7
46.654999	-3.402820E-7
46.660000	-2.303859E-7
46.665001	-5.179318E-7
46.669998	-5.264301E-7
46.674999	-5.771872E-7
46.685001	-5.601905E-7
46.689999	-4.671747E-7
46.695000	-4.502945E-7
46.700001	-4.080357E-7
46.705002	-3.192108E-7
46.715000	-2.938323E-7
46.720001	-3.445894E-7
46.724998	-1.542503E-7
46.730000	-2.980232E-7
46.735001	-9.918585E-8
46.744999	-2.260786E-7
46.750000	-2.345769E-7
46.755001	-2.980232E-7
46.759998	-4.037283E-7
46.764999	-4.249159E-7
46.775002	-4.080357E-7
46.779999	-2.895249E-7
46.785000	-3.953464E-7
46.790001	-3.192108E-7
46.794998	-2.430752E-7
46.805000	-2.853340E-7
46.810001	-4.842877E-8
46.814999	-1.542503E-7
46.820000	-1.542503E-7
46.825001	-9.918585E-8
46.834999	-2.599554E-7
46.840000	-2.684537E-7
46.845001	-1.245644E-7
46.849998	-3.656605E-7
46.855000	-5.349284E-7
46.865002	-4.334142E-7
46.869999	-4.587928E-7
46.875000	-4.080357E-7
46.880001	-3.783498E-7
46.884998	-3.149034E-7
46.895000	-2.557645E-7
46.900002	-1.796288E-7
46.904999	-2.007000E-7
46.910000	-1.979060E-9
46.915001	-2.176967E-7
46.924999	-3.107125E-7
46.930000	-3.826572E-7
46.935001	-3.192108E-7
46.939999	-4.461035E-7
46.945000	-4.080357E-7
46.955002	-3.995374E-7
46.959999	-3.783498E-7
46.965000	-4.249159E-7
46.970001	-4.122267E-7
46.980000	-1.330627E-7
46.985001	-4.376052E-7
46.990002	-1.499429E-7
46.994999	-1.245644E-7
47.000000	-1.076842E-7
47.009998	-1.457520E-7
47.014999	-1.711305E-7
47.020000	-2.557645E-7
47.025002	-1.288718E-7
47.029999	-5.052425E-7
47.040001	-4.417961E-7
47.044998	-2.853340E-7
47.049999	-3.910391E-7
47.055000	-3.699679E-7
47.060001	-4.037283E-7
47.070000	-2.853340E-7
47.075001	-3.656605E-7
47.080002	-1.965091E-7
47.084999	-3.573950E-8
47.090000	-1.161825E-7
47.099998	-1.118751E-7
47.105000	-1.499429E-7
47.110001	-1.626322E-7
47.115002	-2.472661E-7
47.119999	-4.714821E-7
47.130001	-4.249159E-7
47.134998	-2.726447E-7
47.139999	-4.122267E-7
47.145000	-3.783498E-7
47.150002	-3.953464E-7
47.160000	-4.883623E-7
47.165001	-2.557645E-7
47.169998	-3.149034E-7
47.174999	-1.457520E-7
47.180000	-9.080395E-8
47.189999	-1.076842E-7
47.195000	-9.080395E-8
47.200001	-1.584413E-7
47.205002	-2.472661E-7
47.209999	-2.514571E-7
47.220001	-3.699679E-7
47.224998	-4.587928E-7
47.230000	-4.207250E-7
47.235001	-3.868481E-7
47.240002	-4.334142E-7
47.250000	-3.065215E-7
47.255001	-4.037283E-7
47.259998	-2.599554E-7
47.264999	-3.445894E-7
47.270000	-1.838198E-7
47.279999	-1.076842E-7
47.285000	-1.542503E-7
47.290001	-2.938323E-7
47.294998	-3.783498E-7
47.299999	-3.275927E-7
47.310001	-3.783498E-7
47.314999	-4.714821E-7
47.320000	-4.587928E-7
47.325001	-4.164176E-7
47.330002	-4.671747E-7
47.340000	-2.811430E-7
47.345001	-3.572786E-7
47.349998	-3.107125E-7
47.355000	-1.542503E-7
47.360001	-2.726447E-7
47.369999	-1.584413E-7
47.375000	-9.499490E-8
47.380001	-1.923181E-7
47.384998	-3.995374E-7
47.389999	-3.275927E-7
47.400002	-3.319001E-7
47.404999	-4.164176E-7
47.410000	-3.699679E-7
47.415001	-4.291069E-7
47.419998	-3.614696E-7
47.430000	-3.572786E-7
47.435001	-2.980232E-7
47.439999	-1.626322E-7
47.445000	-1.034932E-7
47.450001	-2.007000E-7
47.459999	-1.584413E-7
47.465000	-1.034932E-7
47.470001	-2.218876E-7
47.474998	-9.499490E-8
47.480000	-3.445894E-7
47.490002	-3.107125E-7
47.494999	-4.883623E-7
47.500000	-5.644979E-7
47.505001	-4.461035E-7
47.509998	-3.953464E-7
47.520000	-4.249159E-7
47.525002	-2.430752E-7
47.529999	-2.895249E-7
47.535000	-2.316665E-8
47.540001	-2.091983E-7
47.549999	-1.288718E-7
47.555000	-1.034932E-7
47.560001	-1.796288E-7
47.564999	-2.938323E-7
47.570000	-4.122267E-7
47.580002	-3.149034E-7
47.584999	-4.037283E-7
47.590000	-4.334142E-7
47.595001	-3.995374E-7
47.599998	-3.699679E-7
47.610001	-3.529713E-7
47.615002	-1.880107E-7
47.619999	-2.176967E-7
47.625000	-1.415610E-7
47.630001	2.339948E-8
47.639999	-1.034932E-7
47.645000	-1.584413E-7
47.650002	-1.499429E-7
47.654999	-1.753215E-7
