% Langmuir characteristic curve

% U (Volt)	I (A)
45.000000	-1.754379E-7
45.005001	-3.192108E-7
45.009998	-4.587928E-7
45.020000	-4.798640E-7
45.025002	-3.022142E-7
45.029999	-4.376052E-7
45.035000	-4.714821E-7
45.044998	-4.334142E-7
45.049999	-3.953464E-7
45.055000	-2.599554E-7
45.060001	-4.587928E-7
45.070000	-5.518086E-7
45.075001	-3.995374E-7
45.080002	-4.629837E-7
45.084999	-4.502945E-7
45.095001	-5.559996E-7
45.099998	-4.502945E-7
45.105000	-5.179318E-7
45.110001	-3.656605E-7
45.119999	-3.741588E-7
45.125000	-3.995374E-7
45.130001	-5.264301E-7
45.134998	-3.572786E-7
45.145000	-3.234018E-7
45.150002	-4.334142E-7
45.154999	-4.249159E-7
45.160000	-4.164176E-7
45.169998	-4.841713E-7
45.174999	-4.037283E-7
45.180000	-4.461035E-7
45.185001	-4.461035E-7
45.189999	-3.529713E-7
45.200001	-2.726447E-7
45.205002	-2.980232E-7
45.209999	-3.826572E-7
45.215000	-2.768356E-7
45.224998	-4.798640E-7
45.230000	-3.487803E-7
45.235001	-4.080357E-7
45.240002	-3.783498E-7
45.250000	-4.671747E-7
45.255001	-3.022142E-7
45.259998	-4.122267E-7
45.264999	-5.221227E-7
45.275002	-2.514571E-7
45.279999	-3.656605E-7
45.285000	-3.319001E-7
45.290001	-3.572786E-7
45.299999	-3.149034E-7
45.305000	-3.529713E-7
45.310001	-3.783498E-7
45.314999	-3.065215E-7
45.325001	-2.091983E-7
45.330002	-4.544854E-7
45.334999	-2.472661E-7
45.340000	-4.671747E-7
45.349998	-3.995374E-7
45.355000	-5.518086E-7
45.360001	-4.417961E-7
45.365002	-2.514571E-7
45.369999	-4.249159E-7
45.380001	-5.264301E-7
45.384998	-3.783498E-7
45.389999	-5.052425E-7
45.395000	-3.699679E-7
45.404999	-2.599554E-7
45.410000	-3.826572E-7
45.415001	-3.529713E-7
45.419998	-4.376052E-7
45.430000	-4.968606E-7
45.435001	-2.472661E-7
45.439999	-4.122267E-7
45.445000	-3.910391E-7
45.455002	-4.249159E-7
45.459999	-4.122267E-7
45.465000	-4.207250E-7
45.470001	-2.599554E-7
45.480000	-3.022142E-7
45.485001	-3.910391E-7
45.490002	-5.391194E-7
45.494999	-4.714821E-7
45.505001	-2.811430E-7
45.509998	-3.656605E-7
45.514999	-4.629837E-7
45.520000	-2.091983E-7
45.529999	-3.572786E-7
45.535000	-5.095499E-7
45.540001	-4.544854E-7
45.544998	-4.798640E-7
45.549999	-4.968606E-7
45.560001	-5.391194E-7
45.564999	-4.376052E-7
45.570000	-1.627486E-7
45.575001	-3.022142E-7
45.584999	-3.022142E-7
45.590000	-3.910391E-7
45.595001	-5.010515E-7
45.599998	-3.445894E-7
45.610001	-4.122267E-7
45.615002	-5.475013E-7
45.619999	-4.756730E-7
45.625000	-5.052425E-7
45.634998	-5.010515E-7
45.639999	-4.629837E-7
45.645000	-5.391194E-7
45.650002	-4.925532E-7
45.660000	-5.433103E-7
45.665001	-4.461035E-7
45.669998	-2.895249E-7
45.674999	-3.656605E-7
45.685001	-3.699679E-7
45.689999	-3.065215E-7
45.695000	-3.022142E-7
45.700001	-3.953464E-7
45.709999	-3.741588E-7
45.715000	-3.868481E-7
45.720001	-4.376052E-7
45.724998	-4.756730E-7
45.730000	-4.334142E-7
45.740002	-4.122267E-7
45.744999	-2.472661E-7
45.750000	-4.037283E-7
45.755001	-5.264301E-7
45.764999	-4.671747E-7
45.770000	-3.487803E-7
45.775002	-3.402820E-7
45.779999	-3.022142E-7
45.790001	-3.149034E-7
45.794998	-3.783498E-7
45.799999	-2.135057E-7
45.805000	-4.756730E-7
45.814999	-5.052425E-7
45.820000	-5.728798E-7
45.825001	-3.868481E-7
45.830002	-5.010515E-7
45.840000	-5.813781E-7
45.845001	-2.980232E-7
45.849998	-3.529713E-7
45.855000	-3.783498E-7
45.865002	-2.472661E-7
45.869999	-2.345769E-7
45.875000	-3.402820E-7
45.880001	-3.614696E-7
45.889999	-4.671747E-7
45.895000	-3.995374E-7
45.900002	-4.671747E-7
45.904999	-4.968606E-7
45.910000	-3.910391E-7
45.919998	-4.925532E-7
45.924999	-4.249159E-7
45.930000	-2.303859E-7
45.935001	-3.445894E-7
45.945000	-3.826572E-7
45.950001	-3.572786E-7
45.955002	-5.137408E-7
45.959999	-2.811430E-7
45.970001	-4.587928E-7
45.974998	-4.291069E-7
45.980000	-3.995374E-7
45.985001	-3.192108E-7
45.994999	-4.164176E-7
46.000000	-4.968606E-7
46.005001	-4.461035E-7
46.009998	-4.417961E-7
46.020000	-2.472661E-7
46.025002	-4.925532E-7
46.029999	-4.461035E-7
46.035000	-3.402820E-7
46.044998	-3.149034E-7
46.049999	-4.544854E-7
46.055000	-4.756730E-7
46.060001	-2.641464E-7
46.070000	-1.415610E-7
46.075001	-3.656605E-7
46.080002	-3.192108E-7
46.084999	-4.417961E-7
46.090000	-4.376052E-7
46.099998	-4.671747E-7
46.105000	-3.910391E-7
46.110001	-3.868481E-7
46.115002	-2.430752E-7
46.125000	-3.234018E-7
46.130001	-4.080357E-7
46.134998	-3.614696E-7
46.139999	-3.234018E-7
46.150002	-2.599554E-7
46.154999	-3.868481E-7
46.160000	-3.910391E-7
46.165001	-4.461035E-7
46.174999	-3.741588E-7
46.180000	-3.656605E-7
46.185001	-2.387678E-7
46.189999	-4.544854E-7
46.200001	-4.798640E-7
46.205002	-5.052425E-7
46.209999	-4.037283E-7
46.215000	-3.699679E-7
46.224998	-3.275927E-7
46.230000	-3.995374E-7
46.235001	-3.995374E-7
46.240002	-3.826572E-7
46.250000	-2.938323E-7
46.255001	-4.587928E-7
46.259998	-5.010515E-7
46.264999	-2.811430E-7
46.270000	-3.487803E-7
46.279999	-4.629837E-7
46.285000	-4.461035E-7
46.290001	-4.080357E-7
46.294998	-5.686888E-7
46.305000	-4.080357E-7
46.310001	-3.953464E-7
46.314999	-2.008164E-7
46.320000	-4.629837E-7
46.330002	-3.953464E-7
46.334999	-2.726447E-7
46.340000	-3.656605E-7
46.345001	-4.756730E-7
46.355000	-3.275927E-7
46.360001	-5.010515E-7
46.365002	-7.082708E-7
46.369999	-5.686888E-7
46.380001	-4.376052E-7
46.384998	-4.417961E-7
