% Langmuir characteristic curve

% U (Volt)	I (A)
45.500000	-4.671747E-7
45.505001	-6.828923E-7
45.509998	-4.544854E-7
45.520000	-4.376052E-7
45.525002	-5.306210E-7
45.529999	-5.559996E-7
45.535000	-4.544854E-7
45.540001	-2.303859E-7
45.549999	-2.260786E-7
45.555000	-1.457520E-7
45.560001	-1.626322E-7
45.564999	-1.542503E-7
45.570000	-1.372537E-7
45.580002	-2.387678E-7
45.584999	-2.853340E-7
45.590000	-4.037283E-7
45.595001	-4.629837E-7
45.599998	-3.065215E-7
45.610001	-4.122267E-7
45.615002	-2.726447E-7
45.619999	-3.149034E-7
45.625000	-3.319001E-7
45.630001	-3.445894E-7
45.639999	-2.684537E-7
45.645000	-2.218876E-7
45.650002	-1.245644E-7
45.654999	-2.811430E-7
45.660000	-5.094334E-7
45.669998	-1.034932E-7
45.674999	-3.487803E-7
45.680000	-4.459871E-7
45.685001	-5.982583E-7
45.689999	-4.502945E-7
45.700001	-2.895249E-7
45.705002	-3.319001E-7
45.709999	-4.586764E-7
45.715000	-2.641464E-7
45.720001	-2.726447E-7
45.730000	-2.514571E-7
45.735001	-1.626322E-7
45.740002	-1.753215E-7
45.744999	2.339948E-8
45.750000	-1.923181E-7
45.759998	-3.234018E-7
45.764999	-3.656605E-7
45.770000	-4.164176E-7
45.775002	-3.234018E-7
45.779999	-3.910391E-7
45.790001	-4.080357E-7
45.794998	-4.376052E-7
45.799999	-4.249159E-7
45.805000	-5.855691E-7
45.810001	-1.415610E-7
45.820000	-2.557645E-7
45.825001	-1.457520E-7
45.830002	-2.768356E-7
45.834999	-2.007000E-7
45.840000	-1.330627E-7
45.849998	-2.938323E-7
45.855000	-2.726447E-7
45.860001	-3.529713E-7
45.865002	-4.206086E-7
45.869999	-5.094334E-7
45.880001	-5.813781E-7
45.884998	-4.376052E-7
45.889999	-4.206086E-7
45.895000	-3.783498E-7
45.900002	-4.417961E-7
45.910000	-4.423782E-8
45.915001	-2.303859E-7
45.919998	-2.726447E-7
45.924999	-1.034932E-7
45.930000	-1.203734E-7
45.939999	-1.542503E-7
45.945000	-4.756730E-7
