% Langmuir characteristic curve

% U (Volt)	I (A)
150.000000	7.325935E-5
149.940002	7.308600E-5
149.880005	7.303944E-5
149.820007	7.303944E-5
149.759995	7.289147E-5
149.699997	7.269275E-5
149.639999	7.278996E-5
149.580002	7.240090E-5
149.520004	7.248553E-5
149.460007	7.218530E-5
149.399994	7.230369E-5
149.339996	7.215142E-5
149.279999	7.221068E-5
149.220001	7.220637E-5
149.160004	7.229520E-5
149.100006	7.225713E-5
149.039993	7.218949E-5
148.979996	7.213454E-5
148.919998	7.210497E-5
148.860001	7.196120E-5
148.800003	7.177505E-5
148.740005	7.160171E-5
148.679993	7.156364E-5
148.619995	7.128029E-5
148.559998	7.121265E-5
148.500000	7.106888E-5
148.440002	7.134373E-5
148.380005	7.122115E-5
148.320007	7.131416E-5
148.259995	7.132685E-5
148.199997	7.135642E-5
148.139999	7.135642E-5
148.080002	7.149600E-5
148.020004	7.123803E-5
147.960007	7.115770E-5
147.899994	7.077295E-5
147.839996	7.077714E-5
147.779999	7.067563E-5
147.720001	7.040927E-5
147.660004	7.053616E-5
147.600006	7.041346E-5
147.539993	7.043884E-5
147.479996	7.043884E-5
147.419998	7.039227E-5
147.360001	7.037539E-5
147.300003	7.047271E-5
147.240005	7.046841E-5
147.179993	7.040927E-5
147.119995	7.028237E-5
147.059998	7.029087E-5
147.000000	7.002440E-5
146.940002	6.999064E-5
146.880005	6.980030E-5
146.820007	6.948318E-5
146.759995	6.960577E-5
146.699997	6.934791E-5
146.639999	6.917876E-5
146.580002	6.959739E-5
146.520004	6.954663E-5
146.455002	6.945361E-5
146.395004	6.945780E-5
146.335007	6.959308E-5
146.274994	6.952544E-5
146.214996	6.927596E-5
146.154999	6.932672E-5
146.095001	6.928865E-5
146.035004	6.928446E-5
145.975006	6.895454E-5
145.914993	6.878970E-5
145.854996	6.847677E-5
145.794998	6.854022E-5
145.735001	6.859936E-5
145.675003	6.855710E-5
145.615005	6.846827E-5
145.554993	6.845559E-5
145.494995	6.845989E-5
145.434998	6.856560E-5
145.375000	6.867130E-5
145.315002	6.856560E-5
145.255005	6.854022E-5
145.195007	6.844720E-5
145.134995	6.833300E-5
145.074997	6.810890E-5
145.014999	6.806653E-5
144.955002	6.790168E-5
144.895004	6.795244E-5
144.835007	6.772822E-5
144.774994	6.769027E-5
144.714996	6.780017E-5
144.654999	6.765639E-5
144.595001	6.762682E-5
144.535004	6.773253E-5
144.475006	6.769027E-5
144.414993	6.766489E-5
144.354996	6.783404E-5
144.294998	6.761833E-5
144.235001	6.730121E-5
144.175003	6.732228E-5
144.115005	6.713625E-5
144.054993	6.689096E-5
143.994995	6.687827E-5
143.934998	6.670074E-5
143.875000	6.682763E-5
143.815002	6.697979E-5
143.755005	6.673031E-5
143.695007	6.667117E-5
143.634995	6.659073E-5
143.574997	6.675569E-5
143.514999	6.686139E-5
143.455002	6.674300E-5
143.395004	6.668805E-5
143.335007	6.662041E-5
143.274994	6.664998E-5
143.214996	6.636663E-5
143.154999	6.607908E-5
143.095001	6.590574E-5
143.035004	6.588455E-5
142.975006	6.586348E-5
142.914993	6.588455E-5
142.854996	6.577047E-5
142.794998	6.578735E-5
142.735001	6.588886E-5
142.675003	6.591843E-5
142.615005	6.591424E-5
142.554993	6.604102E-5
142.494995	6.571971E-5
142.434998	6.558432E-5
142.375000	6.566895E-5
142.315002	6.536872E-5
142.255005	6.541947E-5
142.195007	6.514462E-5
142.134995	6.502622E-5
142.074997	6.499235E-5
142.014999	6.484438E-5
141.955002	6.495428E-5
141.895004	6.498385E-5
141.835007	6.518688E-5
141.774994	6.507267E-5
141.714996	6.502192E-5
141.654999	6.502192E-5
141.595001	6.495847E-5
141.535004	6.492890E-5
141.475006	6.484857E-5
141.414993	6.478513E-5
141.354996	6.436650E-5
141.294998	6.431993E-5
141.235001	6.420584E-5
141.175003	6.415509E-5
141.115005	6.403239E-5
141.054993	6.405357E-5
140.994995	6.400712E-5
140.934998	6.390130E-5
140.875000	6.389711E-5
140.815002	6.430736E-5
140.755005	6.415928E-5
140.695007	6.427767E-5
140.634995	6.402819E-5
140.574997	6.394787E-5
140.514999	6.384635E-5
140.455002	6.371108E-5
140.395004	6.352505E-5
140.335007	6.334321E-5
140.274994	6.330933E-5
140.214996	6.323750E-5
140.154999	6.313599E-5
140.095001	6.308523E-5
140.035004	6.299641E-5
139.975006	6.321212E-5
139.914993	6.315706E-5
139.854996	6.321631E-5
139.794998	6.320782E-5
139.735001	6.311480E-5
139.675003	6.312749E-5
139.615005	6.294565E-5
139.554993	6.305985E-5
139.490005	6.250595E-5
139.429993	6.248895E-5
139.369995	6.231561E-5
139.309998	6.231980E-5
139.250000	6.235787E-5
139.190002	6.220140E-5
139.130005	6.238325E-5
139.070007	6.226904E-5
139.009995	6.210420E-5
138.949997	6.227335E-5
138.889999	6.229873E-5
138.830002	6.225216E-5
138.770004	6.212958E-5
138.710007	6.208732E-5
138.649994	6.178278E-5
138.589996	6.179546E-5
138.529999	6.168976E-5
138.470001	6.158825E-5
138.410004	6.150373E-5
138.350006	6.126694E-5
138.289993	6.116542E-5
138.229996	6.131339E-5
138.169998	6.129651E-5
138.110001	6.133039E-5
138.050003	6.126263E-5
137.990005	6.124156E-5
137.929993	6.143609E-5
137.869995	6.139802E-5
137.809998	6.125844E-5
137.750000	6.113586E-5
137.690002	6.083131E-5
137.630005	6.071292E-5
137.570007	6.064528E-5
137.509995	6.067485E-5
137.449997	6.057345E-5
137.389999	6.032386E-5
137.330002	6.051420E-5
137.270004	6.043806E-5
137.210007	6.045925E-5
137.149994	6.029860E-5
137.089996	6.051001E-5
137.029999	6.068754E-5
136.970001	6.040849E-5
136.910004	6.023934E-5
136.850006	6.034924E-5
136.789993	6.013783E-5
136.729996	6.001105E-5
136.669998	5.995599E-5
136.610001	5.968544E-5
136.550003	5.949510E-5
136.490005	5.959661E-5
136.429993	5.951198E-5
136.369995	5.946553E-5
136.309998	5.941058E-5
136.250000	5.948241E-5
136.190002	5.935982E-5
136.130005	5.960080E-5
136.070007	5.942327E-5
136.009995	5.973608E-5
135.949997	5.941058E-5
135.889999	5.931745E-5
135.830002	5.916099E-5
135.770004	5.909335E-5
135.710007	5.874666E-5
135.649994	5.883118E-5
135.589996	5.855632E-5
135.529999	5.861558E-5
135.470001	5.866203E-5
135.410004	5.860708E-5
135.350006	5.864096E-5
135.289993	5.858170E-5
135.229996	5.865365E-5
135.169998	5.871698E-5
135.110001	5.859439E-5
135.050003	5.856052E-5
134.990005	5.864096E-5
134.929993	5.826028E-5
134.869995	5.826878E-5
134.809998	5.798973E-5
134.750000	5.797273E-5
134.690002	5.768100E-5
134.630005	5.785015E-5
134.570007	5.773176E-5
134.509995	5.774025E-5
134.449997	5.783327E-5
134.389999	5.779520E-5
134.330002	5.785434E-5
134.270004	5.803199E-5
134.210007	5.779101E-5
134.149994	5.760067E-5
134.089996	5.763024E-5
134.029999	5.743571E-5
133.970001	5.730893E-5
133.910004	5.727087E-5
133.850006	5.706365E-5
133.789993	5.691138E-5
133.729996	5.680148E-5
133.669998	5.686493E-5
133.610001	5.679717E-5
133.550003	5.672115E-5
133.490005	5.681417E-5
133.429993	5.684374E-5
133.369995	5.688181E-5
133.309998	5.677610E-5
133.250000	5.679717E-5
133.190002	5.693675E-5
133.130005	5.650125E-5
133.070007	5.660695E-5
133.009995	5.631940E-5
132.949997	5.592185E-5
132.889999	5.586271E-5
132.830002	5.591346E-5
132.770004	5.597691E-5
132.710007	5.582883E-5
132.649994	5.567668E-5
132.585007	5.594722E-5
132.524994	5.585002E-5
132.464996	5.598529E-5
132.404999	5.580345E-5
132.345001	5.600648E-5
132.285004	5.606993E-5
132.225006	5.565968E-5
132.164993	5.563430E-5
132.104996	5.554978E-5
132.044998	5.539332E-5
131.985001	5.507190E-5
131.925003	5.512265E-5
131.865005	5.502545E-5
131.804993	5.503383E-5
131.744995	5.500845E-5
131.684998	5.489436E-5
131.625000	5.505502E-5
131.565002	5.508040E-5
131.505005	5.494931E-5
131.445007	5.521998E-5
131.384995	5.501276E-5
131.324997	5.487318E-5
131.264999	5.483511E-5
131.205002	5.461520E-5
131.145004	5.458982E-5
