ASTAR: Stopping Powers and Range Tables for Alpha Particles

GOLD                                                                    

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.728E+01 9.597E-05 
1.500E-03 2.088E+01 1.220E-04 
2.000E-03 2.386E+01 1.444E-04 
2.500E-03 2.646E+01 1.642E-04 
3.000E-03 2.880E+01 1.823E-04 
4.000E-03 3.294E+01 2.147E-04 
5.000E-03 3.658E+01 2.435E-04 
6.000E-03 3.987E+01 2.697E-04 
7.000E-03 4.290E+01 2.938E-04 
8.000E-03 4.573E+01 3.164E-04 
9.000E-03 4.840E+01 3.376E-04 
1.000E-02 5.094E+01 3.578E-04 
1.250E-02 5.683E+01 4.042E-04 
1.500E-02 6.221E+01 4.462E-04 
1.750E-02 6.720E+01 4.848E-04 
2.000E-02 7.190E+01 5.208E-04 
2.250E-02 7.636E+01 5.545E-04 
2.500E-02 8.061E+01 5.863E-04 
2.750E-02 8.468E+01 6.166E-04 
3.000E-02 8.859E+01 6.455E-04 
3.500E-02 9.604E+01 6.996E-04 
4.000E-02 1.030E+02 7.499E-04 
4.500E-02 1.097E+02 7.969E-04 
5.000E-02 1.160E+02 8.412E-04 
5.500E-02 1.221E+02 8.832E-04 
6.000E-02 1.279E+02 9.232E-04 
6.500E-02 1.335E+02 9.614E-04 
7.000E-02 1.390E+02 9.981E-04 
7.500E-02 1.442E+02 1.033E-03 
8.000E-02 1.493E+02 1.068E-03 
8.500E-02 1.543E+02 1.100E-03 
9.000E-02 1.591E+02 1.132E-03 
9.500E-02 1.638E+02 1.163E-03 
1.000E-01 1.683E+02 1.193E-03 
1.250E-01 1.897E+02 1.333E-03 
1.500E-01 2.088E+02 1.459E-03 
1.750E-01 2.262E+02 1.574E-03 
2.000E-01 2.420E+02 1.680E-03 
2.250E-01 2.566E+02 1.781E-03 
2.500E-01 2.699E+02 1.876E-03 
2.750E-01 2.822E+02 1.966E-03 
3.000E-01 2.934E+02 2.053E-03 
3.500E-01 3.133E+02 2.218E-03 
4.000E-01 3.301E+02 2.373E-03 
4.500E-01 3.441E+02 2.521E-03 
5.000E-01 3.557E+02 2.664E-03 
5.500E-01 3.651E+02 2.803E-03 
6.000E-01 3.727E+02 2.938E-03 
6.500E-01 3.787E+02 3.071E-03 
7.000E-01 3.832E+02 3.203E-03 
7.500E-01 3.865E+02 3.332E-03 
8.000E-01 3.888E+02 3.461E-03 
8.500E-01 3.900E+02 3.590E-03 
9.000E-01 3.905E+02 3.718E-03 
9.500E-01 3.903E+02 3.846E-03 
1.000E+00 3.895E+02 3.974E-03 
1.250E+00 3.851E+02 4.619E-03 
1.500E+00 3.763E+02 5.275E-03 
1.750E+00 3.631E+02 5.951E-03 
2.000E+00 3.473E+02 6.655E-03 
2.250E+00 3.310E+02 7.392E-03 
2.500E+00 3.168E+02 8.165E-03 
2.750E+00 3.044E+02 8.970E-03 
3.000E+00 2.934E+02 9.807E-03 
3.500E+00 2.744E+02 1.157E-02 
4.000E+00 2.587E+02 1.345E-02 
4.500E+00 2.453E+02 1.543E-02 
5.000E+00 2.336E+02 1.752E-02 
5.500E+00 2.234E+02 1.971E-02 
6.000E+00 2.142E+02 2.200E-02 
6.500E+00 2.060E+02 2.438E-02 
7.000E+00 1.986E+02 2.685E-02 
7.500E+00 1.918E+02 2.942E-02 
8.000E+00 1.856E+02 3.207E-02 
8.500E+00 1.799E+02 3.480E-02 
9.000E+00 1.746E+02 3.762E-02 
9.500E+00 1.697E+02 4.053E-02 
1.000E+01 1.651E+02 4.352E-02 
1.250E+01 1.462E+02 5.965E-02 
1.500E+01 1.319E+02 7.768E-02 
1.750E+01 1.206E+02 9.753E-02 
2.000E+01 1.114E+02 1.191E-01 
2.500E+01 9.726E+01 1.673E-01 
2.750E+01 9.166E+01 1.938E-01 
3.000E+01 8.677E+01 2.218E-01 
3.500E+01 7.864E+01 2.825E-01 
4.000E+01 7.211E+01 3.489E-01 
4.500E+01 6.673E+01 4.211E-01 
5.000E+01 6.221E+01 4.987E-01 
5.500E+01 5.835E+01 5.818E-01 
6.000E+01 5.501E+01 6.701E-01 
6.500E+01 5.208E+01 7.635E-01 
7.000E+01 4.950E+01 8.620E-01 
7.500E+01 4.720E+01 9.655E-01 
8.000E+01 4.513E+01 1.074E+00 
8.500E+01 4.326E+01 1.187E+00 
9.000E+01 4.157E+01 1.305E+00 
9.500E+01 4.002E+01 1.428E+00 
1.000E+02 3.860E+01 1.555E+00 
1.250E+02 3.296E+01 2.258E+00 
1.500E+02 2.893E+01 3.070E+00 
1.750E+02 2.591E+01 3.985E+00 
2.000E+02 2.355E+01 4.999E+00 
2.250E+02 2.164E+01 6.107E+00 
2.500E+02 2.008E+01 7.308E+00 
2.750E+02 1.877E+01 8.596E+00 
3.000E+02 1.765E+01 9.971E+00 
3.500E+02 1.585E+01 1.297E+01 
4.000E+02 1.445E+01 1.628E+01 
4.500E+02 1.334E+01 1.988E+01 
5.000E+02 1.243E+01 2.377E+01 
5.500E+02 1.167E+01 2.792E+01 
6.000E+02 1.103E+01 3.233E+01 
6.500E+02 1.049E+01 3.698E+01 
7.000E+02 1.001E+01 4.186E+01 
7.500E+02 9.594E+00 4.697E+01 
8.000E+02 9.227E+00 5.228E+01 
8.500E+02 8.901E+00 5.780E+01 
9.000E+02 8.608E+00 6.351E+01 
9.500E+02 8.346E+00 6.941E+01 
1.000E+03 8.108E+00 7.549E+01 
