ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILICON                                                                 

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 1.213E+02 1.066E-05 
1.500E-03 1.342E+02 1.455E-05 
2.000E-03 1.447E+02 1.814E-05 
2.500E-03 1.539E+02 2.149E-05 
3.000E-03 1.624E+02 2.465E-05 
4.000E-03 1.782E+02 3.052E-05 
5.000E-03 1.927E+02 3.592E-05 
6.000E-03 2.066E+02 4.092E-05 
7.000E-03 2.198E+02 4.562E-05 
8.000E-03 2.326E+02 5.004E-05 
9.000E-03 2.450E+02 5.423E-05 
1.000E-02 2.570E+02 5.821E-05 
1.250E-02 2.860E+02 6.742E-05 
1.500E-02 3.135E+02 7.577E-05 
1.750E-02 3.397E+02 8.342E-05 
2.000E-02 3.650E+02 9.052E-05 
2.250E-02 3.893E+02 9.715E-05 
2.500E-02 4.129E+02 1.034E-04 
2.750E-02 4.357E+02 1.093E-04 
3.000E-02 4.579E+02 1.149E-04 
3.500E-02 5.004E+02 1.253E-04 
4.000E-02 5.408E+02 1.349E-04 
4.500E-02 5.793E+02 1.438E-04 
5.000E-02 6.162E+02 1.522E-04 
5.500E-02 6.514E+02 1.601E-04 
6.000E-02 6.852E+02 1.676E-04 
6.500E-02 7.176E+02 1.747E-04 
7.000E-02 7.486E+02 1.815E-04 
7.500E-02 7.785E+02 1.881E-04 
8.000E-02 8.071E+02 1.944E-04 
8.500E-02 8.346E+02 2.005E-04 
9.000E-02 8.610E+02 2.064E-04 
9.500E-02 8.864E+02 2.121E-04 
1.000E-01 9.107E+02 2.177E-04 
1.250E-01 1.018E+03 2.436E-04 
1.500E-01 1.105E+03 2.671E-04 
1.750E-01 1.175E+03 2.890E-04 
2.000E-01 1.232E+03 3.097E-04 
2.250E-01 1.277E+03 3.297E-04 
2.500E-01 1.312E+03 3.490E-04 
2.750E-01 1.341E+03 3.678E-04 
3.000E-01 1.364E+03 3.863E-04 
3.500E-01 1.395E+03 4.225E-04 
4.000E-01 1.412E+03 4.581E-04 
4.500E-01 1.420E+03 4.934E-04 
5.000E-01 1.420E+03 5.286E-04 
5.500E-01 1.416E+03 5.639E-04 
6.000E-01 1.408E+03 5.993E-04 
6.500E-01 1.398E+03 6.349E-04 
7.000E-01 1.386E+03 6.708E-04 
7.500E-01 1.372E+03 7.071E-04 
8.000E-01 1.358E+03 7.437E-04 
8.500E-01 1.343E+03 7.807E-04 
9.000E-01 1.328E+03 8.181E-04 
9.500E-01 1.312E+03 8.560E-04 
1.000E+00 1.296E+03 8.944E-04 
1.250E+00 1.219E+03 1.093E-03 
1.500E+00 1.148E+03 1.305E-03 
1.750E+00 1.082E+03 1.529E-03 
2.000E+00 1.024E+03 1.767E-03 
2.250E+00 9.715E+02 2.017E-03 
2.500E+00 9.248E+02 2.281E-03 
2.750E+00 8.822E+02 2.558E-03 
3.000E+00 8.432E+02 2.848E-03 
3.500E+00 7.738E+02 3.468E-03 
4.000E+00 7.137E+02 4.141E-03 
4.500E+00 6.618E+02 4.869E-03 
5.000E+00 6.179E+02 5.651E-03 
5.500E+00 5.802E+02 6.487E-03 
6.000E+00 5.474E+02 7.375E-03 
6.500E+00 5.186E+02 8.314E-03 
7.000E+00 4.931E+02 9.303E-03 
7.500E+00 4.703E+02 1.034E-02 
8.000E+00 4.498E+02 1.143E-02 
8.500E+00 4.312E+02 1.256E-02 
9.000E+00 4.143E+02 1.375E-02 
9.500E+00 3.989E+02 1.498E-02 
1.000E+01 3.847E+02 1.625E-02 
1.250E+01 3.280E+02 2.332E-02 
1.500E+01 2.874E+02 3.148E-02 
1.750E+01 2.567E+02 4.070E-02 
2.000E+01 2.326E+02 5.095E-02 
2.500E+01 1.969E+02 7.440E-02 
2.750E+01 1.833E+02 8.757E-02 
3.000E+01 1.716E+02 1.017E-01 
3.500E+01 1.526E+02 1.326E-01 
4.000E+01 1.378E+02 1.672E-01 
4.500E+01 1.259E+02 2.052E-01 
5.000E+01 1.160E+02 2.466E-01 
5.500E+01 1.077E+02 2.914E-01 
6.000E+01 1.007E+02 3.394E-01 
6.500E+01 9.458E+01 3.907E-01 
7.000E+01 8.926E+01 4.451E-01 
7.500E+01 8.457E+01 5.027E-01 
8.000E+01 8.040E+01 5.633E-01 
8.500E+01 7.666E+01 6.270E-01 
9.000E+01 7.330E+01 6.938E-01 
9.500E+01 7.025E+01 7.635E-01 
1.000E+02 6.747E+01 8.361E-01 
1.250E+02 5.662E+01 1.242E+00 
1.500E+02 4.908E+01 1.718E+00 
1.750E+02 4.351E+01 2.260E+00 
2.000E+02 3.922E+01 2.867E+00 
2.250E+02 3.581E+01 3.535E+00 
2.500E+02 3.303E+01 4.262E+00 
2.750E+02 3.072E+01 5.048E+00 
3.000E+02 2.876E+01 5.889E+00 
3.500E+02 2.563E+01 7.735E+00 
4.000E+02 2.324E+01 9.787E+00 
4.500E+02 2.134E+01 1.204E+01 
5.000E+02 1.980E+01 1.447E+01 
5.500E+02 1.853E+01 1.708E+01 
6.000E+02 1.745E+01 1.987E+01 
6.500E+02 1.654E+01 2.281E+01 
7.000E+02 1.575E+01 2.591E+01 
7.500E+02 1.506E+01 2.916E+01 
8.000E+02 1.445E+01 3.255E+01 
8.500E+02 1.391E+01 3.608E+01 
9.000E+02 1.343E+01 3.974E+01 
9.500E+02 1.300E+01 4.352E+01 
1.000E+03 1.261E+01 4.743E+01 
