Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:43:53

Start Time	27.04.2026 15:29:05
End Time	27.04.2026 15:43:26


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:29:05

Mass [amu]	Ion Current [A]
0,00	-3,128255e-014
0,03	-1,444321e-014
0,06	-4,845472e-015
0,09	-1,320868e-015
0,13	-1,330977e-015
0,16	-5,011506e-015
0,19	-1,544357e-014
0,22	-3,467655e-014
0,25	-5,848735e-014
0,28	-7,816604e-014
0,31	-8,945703e-014
0,34	-9,598150e-014
0,38	-1,030705e-013
0,41	-1,114919e-013
0,44	-1,175579e-013
0,47	-1,183972e-013
0,50	-1,155994e-013
0,53	-1,114825e-013
0,56	-1,041015e-013
0,59	-9,170329e-014
0,63	-8,054185e-014
0,66	-7,945515e-014
0,69	-8,808971e-014
0,72	-9,831694e-014
0,75	-1,034610e-013
0,78	-1,007644e-013
0,81	-8,737343e-014
0,84	-5,789214e-014
0,88	-7,279521e-015
0,91	6,521191e-014
0,94	1,536825e-013
0,97	2,447993e-013
1,00	3,228258e-013
1,03	3,790153e-013
1,06	4,156727e-013
1,09	4,413043e-013
1,13	4,619837e-013
1,16	4,761338e-013
1,19	4,768675e-013
1,22	4,586035e-013
1,25	4,208018e-013
1,28	3,673328e-013
1,31	3,050172e-013
1,34	2,402542e-013
1,38	1,735784e-013
1,41	1,015165e-013
1,44	2,706895e-014
1,47	-3,649976e-014
1,50	-7,470628e-014
1,53	-8,064309e-014
1,56	-5,387429e-014
1,59	6,005937e-015
1,63	1,027831e-013
1,66	2,404338e-013
1,69	4,176931e-013
1,72	6,275837e-013
1,75	8,605979e-013
1,78	1,105560e-012
1,81	1,348955e-012
1,84	1,577474e-012
1,88	1,783304e-012
1,91	1,964658e-012
1,94	2,118947e-012
1,97	2,238711e-012
2,00	2,315417e-012
2,03	2,343766e-012
2,06	2,324536e-012
2,09	2,266771e-012
2,13	2,182839e-012
2,16	2,078426e-012
2,19	1,949124e-012
2,22	1,787400e-012
2,25	1,596016e-012
2,28	1,395815e-012
2,31	1,211639e-012
2,34	1,047022e-012
2,38	8,819668e-013
2,41	6,964640e-013
2,44	4,887551e-013
2,47	2,765731e-013
2,50	8,975529e-014
2,53	-4,556490e-014
2,56	-1,239295e-013
2,59	-1,598554e-013
2,63	-1,722036e-013
2,66	-1,738757e-013
2,69	-1,719939e-013
2,72	-1,699722e-013
2,75	-1,682893e-013
2,78	-1,660498e-013
2,81	-1,633340e-013
2,84	-1,624493e-013
2,88	-1,660086e-013
2,91	-1,729927e-013
2,94	-1,780740e-013
2,97	-1,769996e-013
3,00	-1,718318e-013
3,03	-1,683278e-013
3,06	-1,694034e-013
3,09	-1,737891e-013
3,13	-1,790430e-013
3,16	-1,831231e-013
3,19	-1,849361e-013
3,22	-1,851870e-013
3,25	-1,855042e-013
3,28	-1,868794e-013
3,31	-1,894615e-013
3,34	-1,920624e-013
3,38	-1,918619e-013
3,41	-1,871584e-013
3,44	-1,802118e-013
3,47	-1,745657e-013
3,50	-1,703422e-013
3,53	-1,653371e-013
3,56	-1,591595e-013
3,59	-1,534282e-013
3,63	-1,496551e-013
3,66	-1,480725e-013
3,69	-1,473603e-013
3,72	-1,458179e-013
3,75	-1,429091e-013
3,78	-1,395790e-013
3,81	-1,382052e-013
3,84	-1,414483e-013
3,88	-1,490739e-013
3,91	-1,570039e-013
3,94	-1,611671e-013
3,97	-1,611355e-013
4,00	-1,592252e-013
4,03	-1,580809e-013
4,06	-1,591451e-013
4,09	-1,612406e-013
4,13	-1,621362e-013
4,16	-1,621763e-013
4,19	-1,642108e-013
4,22	-1,697057e-013
4,25	-1,758880e-013
4,28	-1,787192e-013
4,31	-1,775023e-013
4,34	-1,736665e-013
4,38	-1,688137e-013
4,41	-1,655752e-013
4,44	-1,661306e-013
4,47	-1,703793e-013
4,50	-1,771190e-013
4,53	-1,845995e-013
4,56	-1,898051e-013
4,59	-1,905826e-013
4,63	-1,883198e-013
4,66	-1,854309e-013
4,69	-1,822089e-013
4,72	-1,790421e-013
4,75	-1,784730e-013
4,78	-1,827067e-013
4,81	-1,910841e-013
4,84	-2,000419e-013
4,88	-2,043622e-013
4,91	-2,006426e-013
4,94	-1,907490e-013
4,97	-1,804031e-013
5,00	-1,746319e-013
5,03	-1,745457e-013
5,06	-1,771972e-013
5,09	-1,789909e-013
5,13	-1,795153e-013
5,16	-1,811249e-013
5,19	-1,849906e-013
5,22	-1,887803e-013
5,25	-1,897485e-013
5,28	-1,889262e-013
5,31	-1,889078e-013
5,34	-1,891549e-013
5,38	-1,873197e-013
5,41	-1,835793e-013
5,44	-1,810062e-013
5,47	-1,822138e-013
5,50	-1,863114e-013
5,53	-1,894517e-013
5,56	-1,883072e-013
5,59	-1,830751e-013
5,63	-1,776268e-013
5,66	-1,762051e-013
5,69	-1,797339e-013
5,72	-1,857599e-013
5,75	-1,912758e-013
5,78	-1,946673e-013
5,81	-1,957458e-013
5,84	-1,953670e-013
5,88	-1,946495e-013
5,91	-1,941167e-013
5,94	-1,936108e-013
5,97	-1,922442e-013
6,00	-1,896486e-013
6,03	-1,880665e-013
6,06	-1,902988e-013
6,09	-1,948486e-013
6,13	-1,965220e-013
6,16	-1,926860e-013
6,19	-1,862866e-013
6,22	-1,819685e-013
6,25	-1,811265e-013
6,28	-1,819324e-013
6,31	-1,826863e-013
6,34	-1,832110e-013
6,38	-1,837071e-013
6,41	-1,839243e-013
6,44	-1,832072e-013
6,47	-1,807452e-013
6,50	-1,762893e-013
6,53	-1,709775e-013
6,56	-1,678182e-013
6,59	-1,703508e-013
6,63	-1,785551e-013
6,66	-1,874186e-013
6,69	-1,920964e-013
6,72	-1,926297e-013
6,75	-1,916386e-013
6,78	-1,901848e-013
6,81	-1,879655e-013
6,84	-1,852817e-013
6,88	-1,831169e-013
6,91	-1,823348e-013
6,94	-1,836038e-013
6,97	-1,869221e-013
7,00	-1,904532e-013
7,03	-1,917381e-013
7,06	-1,903452e-013
7,09	-1,869061e-013
7,13	-1,810215e-013
7,16	-1,736391e-013
7,19	-1,693660e-013
7,22	-1,720858e-013
7,25	-1,793921e-013
7,28	-1,852185e-013
7,31	-1,868974e-013
7,34	-1,863284e-013
7,38	-1,860661e-013
7,41	-1,867991e-013
7,44	-1,870234e-013
7,47	-1,847038e-013
7,50	-1,804560e-013
7,53	-1,774509e-013
7,56	-1,771434e-013
7,59	-1,780648e-013
7,63	-1,791785e-013
7,66	-1,806658e-013
7,69	-1,822679e-013
7,72	-1,836945e-013
7,75	-1,846420e-013
7,78	-1,840399e-013
7,81	-1,813742e-013
7,84	-1,774388e-013
7,88	-1,738558e-013
7,91	-1,730239e-013
7,94	-1,759869e-013
7,97	-1,798621e-013
8,00	-1,803525e-013
8,03	-1,766244e-013
8,06	-1,714650e-013
8,09	-1,675324e-013
8,13	-1,658212e-013
8,16	-1,667472e-013
8,19	-1,702688e-013
8,22	-1,758212e-013
8,25	-1,823725e-013
8,28	-1,874264e-013
8,31	-1,887530e-013
8,34	-1,874054e-013
8,38	-1,846547e-013
8,41	-1,787606e-013
8,44	-1,704002e-013
8,47	-1,657602e-013
8,50	-1,685885e-013
8,53	-1,745452e-013
8,56	-1,770316e-013
8,59	-1,746806e-013
8,63	-1,710747e-013
8,66	-1,697663e-013
8,69	-1,715512e-013
8,72	-1,750997e-013
8,75	-1,785104e-013
8,78	-1,806276e-013
8,81	-1,812509e-013
8,84	-1,804549e-013
8,88	-1,788760e-013
8,91	-1,777424e-013
8,94	-1,769202e-013
8,97	-1,748819e-013
9,00	-1,716165e-013
9,03	-1,694299e-013
9,06	-1,705654e-013
9,09	-1,745359e-013
9,13	-1,779666e-013
9,16	-1,781127e-013
9,19	-1,759332e-013
9,22	-1,742582e-013
9,25	-1,741821e-013
9,28	-1,746388e-013
9,31	-1,744033e-013
9,34	-1,734386e-013
9,38	-1,726557e-013
9,41	-1,726848e-013
9,44	-1,727568e-013
9,47	-1,713238e-013
9,50	-1,682500e-013
9,53	-1,654453e-013
9,56	-1,642127e-013
9,59	-1,634639e-013
9,63	-1,626872e-013
9,66	-1,637835e-013
9,69	-1,671414e-013
9,72	-1,702056e-013
9,75	-1,717355e-013
9,78	-1,728546e-013
9,81	-1,740240e-013
9,84	-1,747656e-013
9,88	-1,750025e-013
9,91	-1,742745e-013
9,94	-1,715851e-013
9,97	-1,672390e-013
10,00	-1,634156e-013
10,03	-1,630108e-013
10,06	-1,672147e-013
10,09	-1,733687e-013
10,13	-1,771244e-013
10,16	-1,766508e-013
10,19	-1,733594e-013
10,22	-1,698513e-013
10,25	-1,677456e-013
10,28	-1,667462e-013
10,31	-1,661815e-013
10,34	-1,664122e-013
10,38	-1,675405e-013
10,41	-1,684941e-013
10,44	-1,681296e-013
10,47	-1,663796e-013
10,50	-1,643389e-013
10,53	-1,631275e-013
10,56	-1,630882e-013
10,59	-1,643586e-013
10,63	-1,666014e-013
10,66	-1,686582e-013
10,69	-1,698589e-013
10,72	-1,701787e-013
10,75	-1,697574e-013
10,78	-1,695579e-013
10,81	-1,706022e-013
10,84	-1,719955e-013
10,88	-1,709443e-013
10,91	-1,652636e-013
10,94	-1,562362e-013
10,97	-1,489159e-013
11,00	-1,483332e-013
11,03	-1,550155e-013
11,06	-1,646873e-013
11,09	-1,719590e-013
11,13	-1,739876e-013
11,16	-1,712989e-013
11,19	-1,668082e-013
11,22	-1,641607e-013
11,25	-1,648913e-013
11,28	-1,665921e-013
11,31	-1,657022e-013
11,34	-1,620055e-013
11,38	-1,586977e-013
11,41	-1,589523e-013
11,44	-1,631538e-013
11,47	-1,679581e-013
11,50	-1,683810e-013
11,53	-1,624409e-013
11,56	-1,527402e-013
11,59	-1,430809e-013
11,63	-1,355269e-013
11,66	-1,301571e-013
11,69	-1,253541e-013
11,72	-1,191764e-013
11,75	-1,117727e-013
11,78	-1,054456e-013
11,81	-1,022925e-013
11,84	-1,024954e-013
11,88	-1,046821e-013
11,91	-1,070609e-013
11,94	-1,078577e-013
11,97	-1,062643e-013
12,00	-1,037749e-013
12,03	-1,033944e-013
12,06	-1,068435e-013
12,09	-1,126353e-013
12,13	-1,175288e-013
12,16	-1,203857e-013
12,19	-1,237685e-013
12,22	-1,302727e-013
12,25	-1,378737e-013
12,28	-1,418081e-013
12,31	-1,405666e-013
12,34	-1,367423e-013
12,38	-1,330246e-013
12,41	-1,300076e-013
12,44	-1,277676e-013
12,47	-1,276705e-013
12,50	-1,311626e-013
12,53	-1,375250e-013
12,56	-1,440077e-013
12,59	-1,481729e-013
12,63	-1,493150e-013
12,66	-1,477284e-013
12,69	-1,442173e-013
12,72	-1,405114e-013
12,75	-1,386796e-013
12,78	-1,401922e-013
12,81	-1,452621e-013
12,84	-1,519868e-013
12,88	-1,573410e-013
12,91	-1,593774e-013
12,94	-1,574874e-013
12,97	-1,525650e-013
13,00	-1,475967e-013
13,03	-1,456539e-013
13,06	-1,479810e-013
13,09	-1,540416e-013
13,13	-1,610773e-013
13,16	-1,651902e-013
13,19	-1,643913e-013
13,22	-1,590750e-013
13,25	-1,512207e-013
13,28	-1,446084e-013
13,31	-1,419470e-013
13,34	-1,415456e-013
13,38	-1,404185e-013
13,41	-1,392072e-013
13,44	-1,407608e-013
13,47	-1,454075e-013
13,50	-1,503451e-013
13,53	-1,527929e-013
13,56	-1,521870e-013
13,59	-1,490167e-013
13,63	-1,429619e-013
13,66	-1,342596e-013
13,69	-1,258942e-013
13,72	-1,223921e-013
13,75	-1,257551e-013
13,78	-1,333836e-013
13,81	-1,412004e-013
13,84	-1,467407e-013
13,88	-1,481665e-013
13,91	-1,445020e-013
13,94	-1,384220e-013
13,97	-1,348083e-013
14,00	-1,354606e-013
14,03	-1,376478e-013
14,06	-1,377700e-013
14,09	-1,352179e-013
14,13	-1,327895e-013
14,16	-1,330040e-013
14,19	-1,348721e-013
14,22	-1,360269e-013
14,25	-1,363864e-013
14,28	-1,378851e-013
14,31	-1,417700e-013
14,34	-1,471814e-013
14,38	-1,525156e-013
14,41	-1,569631e-013
14,44	-1,594698e-013
14,47	-1,585037e-013
14,50	-1,543792e-013
14,53	-1,497264e-013
14,56	-1,474344e-013
14,59	-1,486027e-013
14,63	-1,514630e-013
14,66	-1,529369e-013
14,69	-1,519601e-013
14,72	-1,501283e-013
14,75	-1,487848e-013
14,78	-1,470835e-013
14,81	-1,441650e-013
14,84	-1,414146e-013
14,88	-1,404852e-013
14,91	-1,408966e-013
14,94	-1,413007e-013
14,97	-1,416911e-013
15,00	-1,432646e-013
15,03	-1,461365e-013
15,06	-1,479695e-013
15,09	-1,463152e-013
15,13	-1,425473e-013
15,16	-1,416634e-013
15,19	-1,466761e-013
15,22	-1,546754e-013
15,25	-1,603751e-013
15,28	-1,619017e-013
15,31	-1,610598e-013
15,34	-1,599543e-013
15,38	-1,595676e-013
15,41	-1,596055e-013
15,44	-1,583383e-013
15,47	-1,545229e-013
15,50	-1,488249e-013
15,53	-1,419335e-013
15,56	-1,334816e-013
15,59	-1,233871e-013
15,63	-1,125605e-013
15,66	-1,026941e-013
15,69	-9,525901e-014
15,72	-8,968296e-014
15,75	-8,445055e-014
15,78	-8,056485e-014
15,81	-8,051096e-014
15,84	-8,396510e-014
15,88	-8,781718e-014
15,91	-8,955501e-014
15,94	-8,872169e-014
15,97	-8,643435e-014
16,00	-8,466607e-014
16,03	-8,458744e-014
16,06	-8,545596e-014
16,09	-8,605497e-014
16,13	-8,595501e-014
16,16	-8,567815e-014
16,19	-8,611821e-014
16,22	-8,657096e-014
16,25	-8,589119e-014
16,28	-8,634306e-014
16,31	-9,192817e-014
16,34	-1,026938e-013
16,38	-1,142650e-013
16,41	-1,229917e-013
16,44	-1,288973e-013
16,47	-1,337720e-013
16,50	-1,382664e-013
16,53	-1,410494e-013
16,56	-1,405459e-013
16,59	-1,372151e-013
16,63	-1,331653e-013
16,66	-1,292920e-013
16,69	-1,245698e-013
