Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:29:29

Start Time	27.04.2026 15:28:55
End Time	27.04.2026 15:29:10


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:28:55

Mass [amu]	Ion Current [A]
0,00	-2,677842e-014
0,03	-1,237711e-014
0,06	-4,183512e-015
0,09	-1,170040e-015
0,13	-1,266245e-015
0,16	-4,708414e-015
0,19	-1,410791e-014
0,22	-3,086849e-014
0,25	-5,153135e-014
0,28	-7,064857e-014
0,31	-8,689078e-014
0,34	-1,016639e-013
0,38	-1,132639e-013
0,41	-1,179770e-013
0,44	-1,157727e-013
0,47	-1,105709e-013
0,50	-1,057372e-013
0,53	-1,009745e-013
0,56	-9,303527e-014
0,59	-8,111818e-014
0,63	-7,111544e-014
0,66	-6,976262e-014
0,69	-7,651479e-014
0,72	-8,615546e-014
0,75	-9,456507e-014
0,78	-9,796711e-014
0,81	-9,069618e-014
0,84	-6,583289e-014
0,88	-1,781197e-014
0,91	5,435536e-014
0,94	1,448531e-013
0,97	2,407642e-013
1,00	3,260821e-013
1,03	3,897971e-013
1,06	4,307321e-013
1,09	4,548084e-013
1,13	4,690538e-013
1,16	4,768404e-013
1,19	4,758053e-013
1,22	4,602215e-013
1,25	4,266690e-013
1,28	3,769780e-013
1,31	3,158874e-013
1,34	2,471649e-013
1,38	1,716771e-013
1,41	9,024915e-014
1,44	1,023273e-014
1,47	-5,333580e-014
1,50	-8,626477e-014
1,53	-8,405021e-014
1,56	-5,070455e-014
1,59	1,160199e-014
1,63	1,084180e-013
1,66	2,458586e-013
1,69	4,219789e-013
1,72	6,281740e-013
1,75	8,556782e-013
1,78	1,097343e-012
1,81	1,343571e-012
1,84	1,580217e-012
1,88	1,793204e-012
1,91	1,974671e-012
1,94	2,122916e-012
1,97	2,236947e-012
2,00	2,312790e-012
2,03	2,345042e-012
2,06	2,332160e-012
2,09	2,280000e-012
2,13	2,198095e-012
2,16	2,092020e-012
2,19	1,959914e-012
2,22	1,796374e-012
2,25	1,603558e-012
2,28	1,399980e-012
2,31	1,209737e-012
2,34	1,038625e-012
2,38	8,688173e-013
2,41	6,801764e-013
2,44	4,711057e-013
2,47	2,610270e-013
2,50	7,950913e-014
2,53	-5,042732e-014
2,56	-1,248631e-013
2,59	-1,570291e-013
2,63	-1,652956e-013
2,66	-1,646468e-013
2,69	-1,645865e-013
2,72	-1,677326e-013
2,75	-1,708338e-013
2,78	-1,702571e-013
2,81	-1,666224e-013
2,84	-1,639251e-013
2,88	-1,646889e-013
2,91	-1,676132e-013
2,94	-1,701487e-013
2,97	-1,714334e-013
3,00	-1,716396e-013
3,03	-1,709353e-013
3,06	-1,709271e-013
3,09	-1,739021e-013
3,13	-1,798541e-013
3,16	-1,863574e-013
3,19	-1,906068e-013
3,22	-1,922240e-013
3,25	-1,937772e-013
3,28	-1,960928e-013
3,31	-1,962132e-013
3,34	-1,925316e-013
3,38	-1,876893e-013
3,41	-1,841042e-013
3,44	-1,800507e-013
3,47	-1,731482e-013
3,50	-1,654644e-013
3,53	-1,614097e-013
3,56	-1,617712e-013
3,59	-1,626159e-013
3,63	-1,598172e-013
3,66	-1,537964e-013
3,69	-1,490680e-013
3,72	-1,489810e-013
3,75	-1,524692e-013
3,78	-1,560658e-013
3,81	-1,570793e-013
3,84	-1,554144e-013
3,88	-1,538493e-013
3,91	-1,545745e-013
3,94	-1,558958e-013
3,97	-1,551782e-013
4,00	-1,531147e-013
4,03	-1,519439e-013
4,06	-1,517201e-013
4,09	-1,514434e-013
4,13	-1,521778e-013
4,16	-1,561553e-013
4,19	-1,622076e-013
4,22	-1,657762e-013
4,25	-1,649443e-013
4,28	-1,622116e-013
4,31	-1,602818e-013
4,34	-1,598013e-013
4,38	-1,610148e-013
4,41	-1,651731e-013
4,44	-1,730232e-013
4,47	-1,827917e-013
4,50	-1,909665e-013
4,53	-1,947832e-013
4,56	-1,940321e-013
4,59	-1,911253e-013
4,63	-1,891337e-013
4,66	-1,900358e-013
4,69	-1,947002e-013
4,72	-2,019213e-013
4,75	-2,072913e-013
4,78	-2,067288e-013
4,81	-2,012993e-013
4,84	-1,953031e-013
4,88	-1,909398e-013
4,91	-1,879358e-013
4,94	-1,860948e-013
4,97	-1,855020e-013
5,00	-1,858220e-013
5,03	-1,868398e-013
5,06	-1,888575e-013
5,09	-1,917441e-013
5,13	-1,935021e-013
5,16	-1,913002e-013
5,19	-1,851820e-013
5,22	-1,787541e-013
5,25	-1,752941e-013
5,28	-1,750983e-013
5,31	-1,763040e-013
5,34	-1,765801e-013
5,38	-1,749464e-013
5,41	-1,731067e-013
5,44	-1,736473e-013
5,47	-1,766610e-013
5,50	-1,796348e-013
5,53	-1,804584e-013
5,56	-1,791589e-013
5,59	-1,767842e-013
5,63	-1,745133e-013
5,66	-1,741105e-013
5,69	-1,769003e-013
5,72	-1,816896e-013
5,75	-1,860285e-013
5,78	-1,893558e-013
5,81	-1,920067e-013
5,84	-1,929842e-013
5,88	-1,918042e-013
5,91	-1,898972e-013
5,94	-1,890258e-013
5,97	-1,896208e-013
6,00	-1,897773e-013
6,03	-1,872756e-013
6,06	-1,832120e-013
6,09	-1,807231e-013
6,13	-1,806960e-013
6,16	-1,816995e-013
6,19	-1,833529e-013
6,22	-1,865564e-013
6,25	-1,903348e-013
6,28	-1,915791e-013
6,31	-1,884574e-013
6,34	-1,825591e-013
6,38	-1,773548e-013
6,41	-1,747142e-013
6,44	-1,729854e-013
6,47	-1,696934e-013
6,50	-1,664125e-013
6,53	-1,677050e-013
6,56	-1,746963e-013
6,59	-1,835676e-013
6,63	-1,903245e-013
6,66	-1,938357e-013
6,69	-1,946197e-013
6,72	-1,931051e-013
6,75	-1,893511e-013
6,78	-1,835089e-013
6,81	-1,770410e-013
6,84	-1,727979e-013
6,88	-1,720954e-013
6,91	-1,732128e-013
6,94	-1,736510e-013
6,97	-1,722962e-013
7,00	-1,699391e-013
7,03	-1,689366e-013
7,06	-1,712070e-013
7,09	-1,762585e-013
7,13	-1,813714e-013
7,16	-1,831405e-013
7,19	-1,803612e-013
7,22	-1,757961e-013
7,25	-1,737971e-013
7,28	-1,761725e-013
7,31	-1,801536e-013
7,34	-1,808218e-013
7,38	-1,764691e-013
7,41	-1,702457e-013
7,44	-1,668568e-013
7,47	-1,695251e-013
7,50	-1,775080e-013
7,53	-1,859459e-013
7,56	-1,904397e-013
