Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:26:23

Start Time	27.04.2026 15:16:41
End Time	27.04.2026 15:23:36


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:16:41

Mass [amu]	Ion Current [A]
0,00	-1,131665e-013
0,03	-4,960762e-014
0,06	-1,605014e-014
0,09	-4,241681e-015
0,13	-4,022506e-015
0,16	-1,447891e-014
0,19	-4,253517e-014
0,22	-9,019137e-014
0,25	-1,427730e-013
0,28	-1,789559e-013
0,31	-1,920606e-013
0,34	-1,909277e-013
0,38	-1,851634e-013
0,41	-1,778677e-013
0,44	-1,681799e-013
0,47	-1,561519e-013
0,50	-1,439561e-013
0,53	-1,325760e-013
0,56	-1,189910e-013
0,59	-9,844562e-014
0,63	-7,106964e-014
0,66	-4,563825e-014
0,69	-3,260982e-014
0,72	-3,166373e-014
0,75	-3,155020e-014
0,78	-2,350172e-014
0,81	-6,955611e-015
0,84	1,976057e-014
0,88	6,545732e-014
0,91	1,376371e-013
0,94	2,314528e-013
0,97	3,294379e-013
1,00	4,121226e-013
1,03	4,701841e-013
1,06	5,072002e-013
1,09	5,315420e-013
1,13	5,480833e-013
1,16	5,572178e-013
1,19	5,568868e-013
1,22	5,433982e-013
1,25	5,126920e-013
1,28	4,638326e-013
1,31	4,020910e-013
1,34	3,355929e-013
1,38	2,686668e-013
1,41	2,018237e-013
1,44	1,375613e-013
1,47	8,491370e-014
1,50	5,842169e-014
1,53	7,139574e-014
1,56	1,305326e-013
1,59	2,366720e-013
1,63	3,886908e-013
1,66	5,846943e-013
1,69	8,185050e-013
1,72	1,079209e-012
1,75	1,355898e-012
1,78	1,639056e-012
1,81	1,918707e-012
1,84	2,184678e-012
1,88	2,427730e-012
1,91	2,639089e-012
1,94	2,809326e-012
1,97	2,928438e-012
2,00	2,989082e-012
2,03	2,991733e-012
2,06	2,945544e-012
2,09	2,863049e-012
2,13	2,754052e-012
2,16	2,621572e-012
2,19	2,461407e-012
2,22	2,268951e-012
2,25	2,051190e-012
2,28	1,829631e-012
2,31	1,622856e-012
2,34	1,426296e-012
2,38	1,217384e-012
2,41	9,797983e-013
2,44	7,195085e-013
2,47	4,636287e-013
2,50	2,476449e-013
2,53	9,705996e-014
2,56	1,429028e-014
2,59	-1,880908e-014
2,63	-2,695501e-014
2,66	-2,867743e-014
2,69	-3,165723e-014
2,72	-3,547693e-014
2,75	-3,719455e-014
2,78	-3,598356e-014
2,81	-3,448498e-014
2,84	-3,538974e-014
2,88	-3,767566e-014
2,91	-3,809814e-014
2,94	-3,551535e-014
2,97	-3,231083e-014
3,00	-3,154444e-014
3,03	-3,375795e-014
3,06	-3,756175e-014
3,09	-4,171253e-014
3,13	-4,527405e-014
3,16	-4,748899e-014
3,19	-4,811572e-014
3,22	-4,715392e-014
3,25	-4,435357e-014
3,28	-3,964058e-014
3,31	-3,411337e-014
3,34	-3,005650e-014
3,38	-2,968371e-014
3,41	-3,349795e-014
3,44	-3,966212e-014
3,47	-4,485062e-014
3,50	-4,580453e-014
3,53	-4,157758e-014
3,56	-3,458041e-014
3,59	-2,781458e-014
3,63	-2,199400e-014
3,66	-1,675322e-014
3,69	-1,250081e-014
3,72	-1,007938e-014
3,75	-1,020725e-014
3,78	-1,277440e-014
3,81	-1,581738e-014
3,84	-1,658356e-014
3,88	-1,408965e-014
3,91	-9,905992e-015
3,94	-6,981046e-015
3,97	-7,652307e-015
4,00	-1,140154e-014
4,03	-1,491607e-014
4,06	-1,528619e-014
4,09	-1,292306e-014
4,13	-1,101119e-014
4,16	-1,145305e-014
4,19	-1,287907e-014
4,22	-1,393011e-014
4,25	-1,507840e-014
4,28	-1,704375e-014
4,31	-2,043316e-014
4,34	-2,559075e-014
4,38	-3,140050e-014
4,41	-3,535464e-014
4,44	-3,539210e-014
4,47	-3,182837e-014
4,50	-2,762097e-014
4,53	-2,589928e-014
4,56	-2,706173e-014
4,59	-2,936848e-014
4,63	-3,162472e-014
4,66	-3,345234e-014
4,69	-3,410772e-014
4,72	-3,392615e-014
4,75	-3,507174e-014
4,78	-3,759921e-014
4,81	-3,819096e-014
4,84	-3,511689e-014
4,88	-3,038400e-014
4,91	-2,645357e-014
4,94	-2,423115e-014
4,97	-2,340955e-014
5,00	-2,272393e-014
5,03	-2,126972e-014
5,06	-2,012163e-014
5,09	-2,133837e-014
5,13	-2,517083e-014
5,16	-2,924402e-014
5,19	-3,123969e-014
5,22	-3,158388e-014
5,25	-3,269470e-014
5,28	-3,539729e-014
5,31	-3,645027e-014
5,34	-3,218058e-014
5,38	-2,468215e-014
5,41	-2,038188e-014
5,44	-2,203199e-014
5,47	-2,579620e-014
5,50	-2,712252e-014
5,53	-2,637094e-014
5,56	-2,664258e-014
5,59	-2,851663e-014
5,63	-3,027882e-014
5,66	-3,161955e-014
5,69	-3,319435e-014
5,72	-3,418226e-014
5,75	-3,357101e-014
5,78	-3,177235e-014
5,81	-2,955984e-014
5,84	-2,774038e-014
5,88	-2,731324e-014
5,91	-2,815200e-014
5,94	-2,862260e-014
5,97	-2,752479e-014
6,00	-2,622629e-014
6,03	-2,734773e-014
6,06	-3,083652e-014
6,09	-3,472157e-014
6,13	-3,883283e-014
6,16	-4,340025e-014
6,19	-4,694051e-014
6,22	-4,797378e-014
6,25	-4,624991e-014
6,28	-4,283633e-014
6,31	-3,958597e-014
6,34	-3,727343e-014
6,38	-3,494319e-014
6,41	-3,158847e-014
6,44	-2,742779e-014
6,47	-2,361579e-014
6,50	-2,158011e-014
6,53	-2,211845e-014
6,56	-2,431683e-014
6,59	-2,637447e-014
6,63	-2,797490e-014
6,66	-2,969752e-014
6,69	-3,107527e-014
6,72	-3,153479e-014
6,75	-3,164228e-014
6,78	-3,233304e-014
6,81	-3,348563e-014
6,84	-3,397417e-014
6,88	-3,314328e-014
6,91	-3,100235e-014
6,94	-2,807193e-014
6,97	-2,617960e-014
7,00	-2,721797e-014
7,03	-3,048068e-014
7,06	-3,344508e-014
7,09	-3,525503e-014
7,13	-3,726385e-014
7,16	-3,948013e-014
7,19	-3,892087e-014
7,22	-3,408957e-014
7,25	-2,837678e-014
7,28	-2,622678e-014
7,31	-2,816189e-014
7,34	-3,094173e-014
7,38	-3,162120e-014
7,41	-3,016210e-014
7,44	-2,778953e-014
7,47	-2,547604e-014
7,50	-2,495502e-014
7,53	-2,784810e-014
7,56	-3,382988e-014
7,59	-4,169200e-014
7,63	-5,027102e-014
7,66	-5,752004e-014
7,69	-6,067557e-014
7,72	-5,817483e-014
7,75	-5,131915e-014
7,78	-4,349224e-014
7,81	-3,754443e-014
7,84	-3,439715e-014
7,88	-3,355976e-014
7,91	-3,402700e-014
7,94	-3,419016e-014
7,97	-3,214740e-014
8,00	-2,854076e-014
8,03	-2,706262e-014
8,06	-2,951520e-014
8,09	-3,324619e-014
8,13	-3,475444e-014
8,16	-3,334674e-014
8,19	-3,096704e-014
8,22	-2,941679e-014
