Dosierventil,Baratron 1 in Torr,Baratron 2 in Torr,Membranvakuummeter in Torr,Penning 1 in Torr,Pirani in % von 10 mV,Ionivac in mbar
,15.1,,14,,1,
,14.3,,13.2,,1,
,11.1,,10,,1,
,8.7,,7.7,,1,
,7.2,,6.2,,1,
,5.5,,4.6,,1,
,4.3,,5.4,,1,
,3.6,,2.7,,1,
,2.5,,1.6,,1,
,1.7,,0.8,,2,
,1.2,0.9379,0.3,,3,
202,1.3,0.9988,0.3,,3,
193,1.2,0.8991,0.2,,4,
184,1.1,0.8022,0.1,,4,
173,1.0,0.6969,0.0,,4,
163,0.9,0.5989,,,5,
151,0.8,0.4983,,,6,
138,0.7,0.4040,,,6,
112,0.6,0.2980,,,9,
50,0.6,0.2605,,,12,
204,0.5,0.1620,,,18,
201,0.4,0.1030,,,24,
200,0.4,0.0903,,,27,
198,0.4,0.0776,,,30,
196,0.4,0.0699,,,33,
194,0.4,0.0607,,,36,
190,0.3,0.0486,,,41,
186,,0.0394,,,48,
179,,0.0302,,,53,
168,,0.0201,,,62,
149,,0.0098,,2e-3,72,3e-3
147,,0.0090,,2e-3,73,3e-3
144,,0.0080,,2e-3,74,2e-3
141,,0.0070,,1e-3,75,2e-3
138,,0.0060,,1e-3,76,2e-3
135,,0.0050,,9e-4,77,2e-3
130,,0.0040,,8e-4,79,1e-3
124,,0.0030,,6e-4,80,1e-3
116,,0.0020,,5e-4,81,7e-4
102,,0.0010,,3e-4,82,4e-4
80,,0.0003,,2e-4,83,3e-4
50,,0,,1e-4,83,2e-4
