Dosierventil,Baratron 1 in Torr,Baratron 2 in Torr,Membranvakuummeter in Torr,Penning 1 in Torr,Pirani in mV,Ionivac in mbar
,15.3,,14.2,,4,
,14.6,,13.6,,4,
,12.7,,11.6,,4,
,11.8,,10.8,,4,
,10.2,,9.3,,4,
,8.5,,7.6,,4,
,7.4,,6.5,,4,
,6.1,,5.2,,4,
,5.0,,4.2,,4,
,4.5,,3.6,,4,
,3.6,,2.7,,4,
,2.5,,1.6,,5,
,1.8,,0.9,,5,
,1.2,0.9947,0.3,,7,
294,1.2,1.0005,0.3,,7,
278,1.2,0.9024,0.2,,7,
259,1.1,0.8000,0.1,,8,
238,0.9,0.6998,0.1,,8,
216,0.9,0.6047,0.0,,9,
192,0.8,0.5000,0.0,,10,
166,0.7,0.4017,0.0,,12,
134,0.6,0.3028,0.0,,14,
50,0.5,0.2739,0.0,,16,
338,0.5,0.2585,0.0,,,
327,0.4,0.0954,0.0,,34,
324,0.3,0.0782,0.0,,38,
323,0.3,0.0709,0.0,,40,
320,0.3,0.0615,0.0,,44,
314,0.3,0.0502,0.0,,48,
303,0.3,0.0405,0.0,,53,
283,0.3,0.0301,0.0,,60,
246,0.3,0.0201,0.0,,67,
194,0.3,0.0100,0.0,6e-3,75,
187,0.3,0.0090,0.0,6e-3,76,
182,0.3,0.0080,0.0,6e-3,77,
174,0.3,0.0070,0.0,6e-3,78,
168,0.3,0.0060,0.0,6e-3,78,
160,0.3,0.0050,0.0,6e-3,78,8e-3
153,0.3,0.0041,0.0,5e-3,80,7e-3
143,0.3,0.0030,0.0,4e-3,81,5e-3
133,0.3,0.0020,0.0,3e-3,82,3e-3
120,0.3,0.0010,0.0,2e-3,82,2e-3
101,0.3,0.0003,0.0,1e-3,83,1e-3
94,0.3,0.0001,0.0,9e-4,84,9e-4
88,0.3,0.0000,0.0,8e-4,84,8e-4
83,0.3,0,0,7e-4,84,7e-4
74,0.3,0,0,6e-4,84,6e-4
69,0.3,0,0,5e-4,84,5e-4
55,0.3,0,0,4e-4,84,4e-4
46,0.3,0,0,3e-4,84,3e-4
0,0.3,0,0,6e-5,84,8e-5
