t in +/- 1s, Baratron 2 Luft in +/- 0.0001 Torr, Baratron 2 Helium in +/- 0.0001 Torr
0, -0.0000, -0.0006
10, 0.0011, 0.0010
20, 0.0021, 0.0024
30, 0.0031, 0.0037
40, 0.0042, 0.0052
50, 0.0051, 0.0065
60, 0.0062, 0.0078
70, 0.0071, 0.0091
80, 0.0082, 0.0103 
90, 0.0092, 0.0116
100, 0.0102, 0.0128
110, 0.0111, 0.0141
120, 0.0122, 0.0154
130, 0.0131, 0.0167
140, 0.0141, 0.0179
150, 0.0151, 0.0191
160, 0.0161, 0.0203
170, 0.0170, 0.0216
180, 0.0180, 0.0227
210, 0.0211, 0.0265
240, 0.0240, 0.0301
270, 0.0269, 0.0337
300, 0.0299, 0.0374
330, 0.0329, 0.0410
360, 0.0360, 0.0447
390, 0.0388, 0.0482
420, 0.0420, 0.0518
450, 0.0449, 0.0556
480, 0.0479, 0.0591
510, 0.0508, 0.0627
540, 0.0539, 0.0662
570, 0.0568, 0.0699
600, 0.0598, 0.0734
630, 0.0628, 0.0771
660, 0.0658, 0.0807
690, 0.0687, 0.0843
720, 0.0717, 0.0880
750, 0.0746, 0.0914
780, 0.0777, 0.0952
810, 0.0808, 0.0987
840, 0.0837, 0.1024
870, 0.0866, 0.1059
900, 0.0898, 0.1094
930, 0.0927, 0.1130
960, 0.0957, 0.1167
990, 0.0987, 0.1203
1020, 0.1018, 0.1238
1050, 0.1048, 0.1273
1080, 0.1079, 0.1309
1110, 0.1107, 0.1345
1140, 0.1138, 0.1381
1170, 0.1169, 0.1417
1200, 0.1199, 0.1453
1230, 0.1230, 0.1489
1260, 0.1260, 0.1523
1290, 0.1290, 0.1560
1320, 0.1320, 0.1596
1350, 0.1351, 0.1631
1380, 0.1381, 0.1666
